Unfall_ID;Original_Unfall_ID;Datum + Uhrzeit;Koordinaten Breitengrad;Koordinaten Längengrad;Gemeinde;Anzahl der Getöteten;Anzahl der Schwerverletzten;Anzahl der Leichtverletzten;Anzahl Beteiligte;Unfallart;Charakteristik;Besonderheiten;Lichtzeichenanlage;Lichtverhältnisse;Straßenzustand;Aufprall auf Hindernis;Unfallkategorie;Unfalltyp;Beteiligter 1: Ursachen;Beteiligter 2: Ursachen;Beteiligter 1: Verkehrsbeteiligung;Beteiligter 2: Verkehrsbeteiligung;beteiligt_fuss;beteiligt_fahrrad;beteiligt_pkw;beteiligt_sonst_kfz;beteiligt_sonst;Anzahl Fahrrad;Anzahl zu Fuß;Anzahl Pkw;Anzahl Pkw/Lkw/Bus;Anzahl sonstige Kfz;Anzahl sonstige;Anzahl sonstige Verkehrsmittel
10;;2024-01-03T06:25:00Z;49.02089281;8.46788053;Karlsruhe, Stadt;0;1;0;2;Zusammenstoß zwischen Fahrzeug und Fußgänger;Grundstücksein-/ausfahrt;;;hell;nass;kein Aufprall;Unfall mit Schwerverletzten;Sonstiger Unfall;Falsches Verhalten gegenüber Fußgängern an anderen Stellen;;Pkw;zu Fuß;TRUE;FALSE;TRUE;FALSE;FALSE;0;1;1;;0;0;
18;;2024-01-03T18:15:00Z;48.99663226;8.473511931;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;;;;dunkel;nass;kein Aufprall;Unfall mit Leichtverletzten;Unfall durch ruhenden Verkehr;Verkehrswidriges Verhalten beim Ein-/Aussteigen, Be-/Entladen;;Pkw;Fahrrad;FALSE;TRUE;TRUE;FALSE;FALSE;1;0;1;;0;0;
27;;2024-01-04T14:10:00Z;49.00862605;8.416827137;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;Einmündung;Radverkehrsanlage auf der Fahrbahn;;hell;nass;kein Aufprall;Unfall mit Leichtverletzten;Einbiege-/Kreuzen-Unfall;Nichtbeachten der Vorfahrt regelnden Verkehrszeichen;;Pkw;Fahrrad;FALSE;TRUE;TRUE;FALSE;FALSE;1;0;1;;0;0;
29;;2024-01-05T05:00:00Z;49.01034291;8.387354283;Karlsruhe, Stadt;0;0;1;1;Unfall anderer Art;Kreuzung;Radverkehrsanlage auf der Fahrbahn;Lichtzeichenanlage in Betrieb;dunkel;trocken;kein Aufprall;Unfall mit Leichtverletzten;Sonstiger Unfall;Sonstige körperliche oder geistige Mängel;;Fahrrad;;FALSE;TRUE;FALSE;FALSE;FALSE;1;0;0;;0;0;
30;;2024-01-05T08:54:00Z;49.00682346;8.429184171;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;;Radverkehrsanlage auf der Fahrbahn;;hell;trocken;kein Aufprall;Unfall mit Leichtverletzten;Unfall durch ruhenden Verkehr;Verkehrswidriges Verhalten beim Ein-/Aussteigen, Be-/Entladen;;Pkw;Fahrrad;FALSE;TRUE;TRUE;FALSE;FALSE;1;0;1;;0;0;
35;;2024-01-05T14:50:00Z;49.00548782;8.459349681;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;;;;hell;trocken;kein Aufprall;Unfall mit Leichtverletzten;Sonstiger Unfall;"Fehler beim Wenden oder Rückwärtsfahren; Fehler beim Einfahren in den fließenden Verkehr";;Pkw;Fahrrad;FALSE;TRUE;TRUE;FALSE;FALSE;1;0;1;;0;0;
37;;2024-01-05T17:00:00Z;49.00160688;8.462622865;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß zwischen Fahrzeug und Fußgänger;;Fußgängerüberweg (Zebrastreifen);;dunkel;trocken;kein Aufprall;Unfall mit Leichtverletzten;Überschreiten-Unfall;Falsches Verhalten gegenüber Fußgängern an Fußgängerüberwegen;;Pkw;zu Fuß;TRUE;FALSE;TRUE;FALSE;FALSE;0;1;1;;0;0;
46;;2024-01-07T11:30:00Z;49.00434602;8.392194855;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;;;;hell;trocken;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Sonstiger Unfall;Andere Fehler beim Fahrzeugführer;;Fahrrad;Pkw;FALSE;TRUE;TRUE;FALSE;FALSE;1;0;1;;0;0;
56;;2024-01-08T15:58:00Z;48.97077329;8.405882058;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;Kreisverkehr;;;Dämmerung;trocken;kein Aufprall;Unfall mit Leichtverletzten;Einbiege-/Kreuzen-Unfall;Nichtbeachten der Vorfahrt regelnden Verkehrszeichen;;Pkw;Fahrrad;FALSE;TRUE;TRUE;FALSE;FALSE;1;0;1;;0;0;
59;;2024-01-08T17:00:00Z;49.00031939;8.46441578;Karlsruhe, Stadt;0;0;0;3;Unfall anderer Art;;;Lichtzeichenanlage in Betrieb;dunkel;trocken;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Überschreiten-Unfall;Überschreiten der Fahrbahn ohne auf den Fahrzeugverkehr zu achten;Ungenügender Sicherheitsabstand;zu Fuß;Pkw;TRUE;;TRUE;;;0;1;1;;0;0;
