FID;OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrasse;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
22533;22534;08;4;25;072;2016;01;18;3;2;6;4;2;1;0;1;1;0;0;0;582623,631000000050000;5371961,702899999900000;10,118378558000000;48,495341566999997
22605;22606;08;3;35;075;2016;01;12;7;3;5;3;0;1;1;1;0;0;0;0;487656,590000000030000;5289475,514999999700000;8,835295865999999;47,758529791000001
22704;22705;08;1;16;071;2016;01;16;3;3;6;4;1;0;0;1;1;0;0;0;527926,035999999960000;5391114,188000000100000;9,379322255000000;48,672451148000000
22727;22728;08;1;19;068;2016;01;11;7;2;1;3;0;0;1;1;0;0;0;0;525586,215600000000000;5413874,384300000000000;9,348957029999999;48,877297656000003
22744;22745;08;1;16;035;2016;01;15;7;3;5;3;0;1;1;0;0;0;0;1;526974,089999999970000;5391893,287999999700000;9,366442982000001;48,679501735000002
22756;22757;08;2;36;071;2016;01;15;6;2;8;7;0;0;1;0;0;0;0;0;468647,622099999980000;5420806,329400000200000;8,571870970999999;48,939389237000000
22819;22820;08;1;11;000;2016;01;07;2;3;0;3;2;1;1;1;0;0;0;0;515428,316999999980000;5405879,524199999900000;9,210118995000000;48,805713480999998
22826;22827;08;4;26;128;2016;01;21;7;2;0;1;2;1;1;0;0;0;0;0;559443,278000000050000;5330984,216400000300000;9,798876437000001;48,129336623000000
22854;22855;08;2;16;043;2016;01;14;7;2;6;3;0;1;0;1;1;0;0;0;441580,539800000030000;5411487,970599999700000;8,203620739000000;48,853607521000001
22885;22886;08;1;11;000;2016;01;19;7;2;6;4;2;1;0;1;1;0;0;0;512730,380400000020000;5405204,877899999700000;9,173354943000000;48,799705560000000
22892;22893;08;2;26;041;2016;01;11;5;2;6;7;0;0;0;0;1;0;0;1;477396,925800000030000;5466308,466799999600000;8,688791317000000;49,349074299999998
22894;22895;08;2;12;000;2016;01;14;1;2;5;2;0;1;1;1;0;0;0;0;454582,274099999980000;5428268,716199999700000;8,378979883000000;49,005641625999999
22904;22905;08;4;36;055;2016;01;17;3;2;6;4;2;1;0;1;1;0;0;0;576444,658500000020000;5297364,417799999900000;10,021346686999999;47,825085012999999
22912;22913;08;3;16;011;2016;01;18;4;2;0;1;2;1;1;0;0;0;0;0;416149,776399999970000;5330958,859799999700000;7,873172349000000;48,126360802000001
22913;22914;08;4;15;061;2016;01;01;7;2;5;3;2;1;1;1;0;0;0;0;514985,261999999990000;5373327,728000000100000;9,202906317000000;48,512885298999997
22955;22956;08;4;36;011;2016;01;19;6;2;6;2;2;1;0;1;1;0;0;0;549057,571699999970000;5297904,283499999900000;9,655531535000000;47,832614319000001
22965;22966;08;1;16;077;2016;01;07;2;3;1;6;2;1;1;1;0;0;0;0;518264,356099999980000;5388345,200000000200000;9,247966060000000;48,647898519999998
