OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
21604;08;3;25;045;2019;01;17;6;2;6;4;2;0;1;1;0;0;0;468498,535629620780000;5349123,288783298800000;8,575279387000023;48,294523404000074;0
21619;08;1;26;060;2019;01;18;6;2;6;4;2;0;1;1;0;0;0;544668,729580977930000;5460525,344215611000000;9,614356641000029;49,295840326000075;1
21620;08;2;25;058;2019;01;20;6;2;6;4;2;0;1;1;0;0;0;509773,257731085640000;5466023,692172873800000;9,134556207000060;49,346853344000067;1
21631;08;1;11;000;2019;01;12;6;2;5;3;0;1;1;0;0;0;0;516248,586010445840000;5405694,947040215100000;9,221282888000076;48,804032147000044;1
21639;08;3;35;055;2019;01;15;5;1;9;7;0;0;1;1;0;0;0;496529,261235589160000;5284715,848028803200000;8,953726111000037;47,715813054000080;0
21646;08;3;16;009;2019;01;12;5;3;5;3;0;1;1;0;0;0;0;416634,620000000110000;5324436,112000001600000;7,880960785000070;48,067750327000056;0
21674;08;4;17;031;2019;01;10;4;3;5;3;0;1;1;0;0;0;0;497181,088897331620000;5356383,370326098100000;8,961944740000035;48,360617907000062;1
21699;08;1;15;045;2019;01;16;4;3;6;1;0;0;1;1;0;0;0;500012,917841837740000;5395569,375376645500000;9,000175606000028;48,713154950000046;1
21701;08;1;11;000;2019;01;23;4;2;6;4;2;0;1;1;0;0;0;516840,168819180690000;5403647,752686368300000;9,229255419000026;48,785600114000033;0
21705;08;3;37;096;2019;01;06;3;3;6;4;2;0;1;1;0;0;0;419539,217098345980000;5267356,657285288000000;7,930538667000064;47,554642367000042;0
21706;08;3;35;075;2019;01;13;3;3;0;1;0;1;0;0;0;0;0;493048,900075602350000;5289401,041403902700000;8,907249143000058;47,757940410000060;0
21712;08;2;31;000;2019;01;16;3;3;0;7;0;0;0;1;0;0;1;478507,415000000970000;5415803,596699999600000;8,706771571000047;48,894807666000077;1
21713;08;2;26;056;2019;01;16;3;3;6;2;1;0;1;1;0;0;0;484213,252110482190000;5471170,393450329100000;8,782447612000055;49,393021757000042;1
21721;08;1;16;081;2019;01;01;3;1;2;1;2;0;1;1;0;0;0;516676,873312822540000;5386383,863355565800000;9,226334831000031;48,630298495000034;1
21796;08;1;36;065;2019;01;18;7;2;5;3;2;1;1;0;0;0;0;560581,416164948610000;5405878,355316847600000;9,825019268000062;48,802941983000039;1
21853;08;3;35;043;2019;01;16;5;3;0;1;0;1;0;0;0;0;0;515307,587465091610000;5281077,450085215300000;9,203961223000022;47,682904041000029;2
21865;08;2;22;000;2019;01;17;5;3;5;3;2;1;1;0;0;0;0;462939,941991252820000;5482900,327952185600000;8,488198271000044;49,497604135000074;0
21866;08;2;22;000;2019;01;21;5;3;6;4;2;1;0;1;0;0;0;462853,582747563720000;5482751,586408782800000;8,487019678000024;49,496261000000061;0
21871;08;2;12;000;2019;01;18;5;3;5;3;2;1;1;0;0;0;0;457000,311484859320000;5428269,414912981900000;8,412041014000067;49,005821120000064;1
21879;08;1;36;042;2019;01;16;5;3;1;5;0;1;1;0;0;0;0;546813,147304660640000;5403899,165585631500000;9,637306439000042;48,786327888000073;0
21886;08;1;19;086;2019;01;15;5;3;5;3;0;1;1;0;0;0;0;535191,114500234830000;5405241,049509652000000;9,479207691000056;48,799165203000030;1
21887;08;1;19;067;2019;01;17;5;3;6;4;2;0;1;1;0;0;0;539076,306727080610000;5405687,683045091100000;9,532153726000047;48,802950832000079;1
21891;08;1;18;046;2019;01;15;5;3;7;7;0;1;0;0;0;0;0;515191,063000001940000;5412650,717000000200000;9,207138828000041;48,866631721000033;0
21896;08;1;17;026;2019;01;11;5;2;6;4;0;0;1;1;0;0;0;547690,364000000060000;5394351,626000000200000;9,648142604000043;48,700376904000052;1
21905;08;1;11;000;2019;01;07;5;2;6;7;0;0;1;1;0;0;0;512592,260652123950000;5401559,131202118500000;9,171362425000041;48,766911542000059;1
21910;08;4;35;016;2019;01;07;4;3;5;3;1;1;1;0;0;0;0;537381,626964804720000;5278855,372642964100000;9,497881662000054;47,662011477000078;1
21915;08;4;21;000;2019;01;07;4;2;4;1;2;1;0;0;0;0;0;573126,141999999990000;5356008,872000001400000;9,987060752000048;48,353020190000052;2
21925;08;3;35;075;2019;01;07;4;3;6;4;1;0;1;1;0;0;0;488796,571221814490000;5287857,237728737300000;8,850548828000058;47,743990084000075;1
21946;08;2;36;071;2019;01;07;4;3;6;4;1;0;1;1;0;0;0;468710,975436409940000;5422367,375128340000000;8,572616155000048;48,953434753000067;1
21950;08;2;25;074;2019;01;17;4;3;6;1;2;0;0;1;0;0;1;507033,189951333220000;5466595,544969914500000;9,096841680000068;49,352034950000075;0
21955;08;2;21;000;2019;01;20;4;3;6;7;2;0;0;1;0;0;1;477495,283658791330000;5471493,954232689000000;8,689852213000052;49,395720888000028;1
21975;08;1;25;113;2019;01;17;4;2;6;6;2;0;0;1;0;1;0;527812,968155927960000;5452460,720932155800000;9,381975729000033;49,224298907000048;0
21982;08;1;17;051;2019;01;06;4;3;6;4;2;0;1;1;0;0;0;542522,698310013860000;5395207,612121911700000;9,578002844000025;48,708450706000065;1
21985;08;1;16;019;2019;01;17;4;3;5;3;2;1;1;0;0;0;0;524407,224889473990000;5397415,882166000100000;9,331899282000052;48,729288239000027;1
21988;08;1;16;056;2019;01;20;4;3;4;7;2;1;1;0;0;0;0;530273,560115288010000;5396160,075726654400000;9,411577941000076;48,717733856000052;1
22005;08;4;35;016;2019;01;08;3;3;7;7;1;1;0;0;0;0;0;538995,685133286750000;5279584,838483288900000;9,519443339000077;47,668479436000041;1
22012;08;3;37;066;2019;01;07;3;3;6;4;2;0;1;1;0;0;0;430285,167726548390000;5268477,114601133400000;8,073172198000066;47,565965612000070;1
22044;08;1;18;079;2019;01;07;3;3;5;3;2;1;1;0;0;0;0;508941,519000000320000;5423290,140000000600000;9,122156127000039;48,962462691000042;0
22046;08;1;17;042;2019;01;06;3;2;6;4;2;0;0;1;0;0;1;554176,623908294360000;5393142,357244234500000;9,736129279000068;48,688969504000056;1
22051;08;1;11;000;2019;01;08;3;3;5;2;0;1;1;0;0;0;0;513265,272997500370000;5402372,124126082300000;9,180547322000052;48,774211190000074;0
22054;08;4;35;016;2019;01;17;2;3;6;4;2;0;1;1;0;0;0;533099,352900713680000;5280341,954168038400000;9,440961043000073;47,675620224000056;1
22066;08;4;35;057;2019;01;17;2;3;6;4;2;0;1;1;0;0;0;544477,947114347480000;5279549,925931280500000;9,592462659000034;47,667811486000062;1
22067;08;3;35;079;2019;01;18;2;2;6;4;2;0;1;1;0;0;0;501102,027635551060000;5299734,999495202700000;9,014730999000051;47,850956680000081;1
22074;08;2;12;000;2019;01;07;2;3;6;4;0;0;1;1;0;0;0;454231,909403696660000;5432577,113003745700000;8,373703293000062;49,044369944000039;1
22080;08;2;26;013;2019;01;13;2;3;5;2;0;1;1;0;0;0;0;498661,336686305700000;5479506,481658563000000;8,981524078000064;49,468207586000062;1
22081;08;2;26;036;2019;01;13;2;3;5;3;0;1;1;0;0;0;0;469027,185836732390000;5480327,147627335000000;8,572462374000054;49,474800749000053;0
22085;08;2;12;000;2019;01;14;2;3;1;5;0;1;1;0;0;0;0;455816,940426166170000;5428232,792429575700000;8,395865029000049;49,005408113000044;0
22088;08;3;16;051;2019;01;22;7;3;3;6;2;1;1;0;0;0;0;400825,695557313040000;5337739,660899139900000;7,665711214000055;48,185147485000073;0
22128;08;2;12;000;2019;01;09;7;3;5;3;0;1;1;0;0;0;0;455114,458407263270000;5427754,513426927800000;8,386313112000039;49,001055258000065;1
22134;08;3;17;089;2019;01;10;7;2;6;4;0;0;1;1;0;0;0;431534,121930966150000;5375970,983690202200000;8,072571374000063;48,533108172000027;1
22135;08;4;16;036;2019;01;12;5;3;6;7;0;0;1;1;0;0;0;495467,138463538140000;5368926,885861614700000;8,938670864000073;48,473455993000073;1
22146;08;2;12;000;2019;01;07;4;3;4;6;0;1;0;0;0;0;0;455777,723052482120000;5431321,908379171000000;8,394992119000051;49,033192163000081;0
22154;08;1;36;088;2019;01;07;4;2;6;4;2;0;1;1;0;0;0;582364,873006005770000;5410746,836975963800000;10,122600218000059;48,844225228000028;0
22160;08;2;22;000;2019;01;11;5;2;6;2;0;0;1;1;0;0;0;463007,092407752760000;5486363,475597443100000;8,488801051000053;49,528757360000043;1
22161;08;1;18;050;2019;01;12;4;3;6;2;0;0;1;1;0;0;0;506066,565000000410000;5416681,496000001200000;9,082781146000059;48,903048134000073;0
22169;08;1;11;000;2019;01;15;4;2;6;4;0;0;1;1;0;0;0;515312,191899583670000;5399429,735850507400000;9,208297302000062;48,747694656000078;0
22170;08;1;11;000;2019;01;16;4;2;5;3;1;1;1;0;0;0;0;514856,690941479990000;5406113,233452113300000;9,202342502000022;48,807829825000056;0
22171;08;4;36;081;2019;01;18;3;2;0;1;2;1;0;0;0;0;0;557726,803945197720000;5279056,877248592700000;9,768862655000021;47,662328639000066;2
22180;08;4;36;064;2019;01;17;4;3;6;2;2;0;1;1;0;0;0;546058,987883634870000;5293482,307241763900000;9,614995507000060;47,793051758000047;1
22181;08;3;35;079;2019;01;14;3;3;6;4;0;0;1;1;0;0;0;500398,169898247350000;5299665,463541925000000;9,005322344000035;47,850331857000072;0
22184;08;3;26;012;2019;01;07;3;3;6;4;2;0;1;1;0;0;0;462707,501170995650000;5309967,767990730700000;8,500629835000041;47,941939782000077;1
22187;08;3;17;073;2019;01;12;3;3;5;3;0;1;1;0;0;0;0;411743,246174578550000;5349038,370549080900000;7,810206444000073;48,288388862000033;0
22197;08;2;31;000;2019;01;12;3;2;6;4;0;0;1;1;0;0;0;477798,134852846150000;5415679,194861888900000;8,697101594000060;48,893663579000076;0
22217;08;1;35;019;2019;01;15;3;3;6;4;0;1;0;1;0;0;0;584754,523453198370000;5392342,526833711200000;10,151373194000030;48,678372096000032;0
22219;08;1;27;014;2019;01;08;3;2;0;1;0;1;0;0;0;0;0;575522,573660998610000;5443050,609199818200000;10,035362335000059;49,135641108000073;2
22225;08;4;26;070;2019;01;15;4;3;6;6;0;0;1;1;0;0;0;565230,921571983020000;5342320,971043072600000;9,878389947000073;48,230753407000066;0
22233;08;1;18;028;2019;01;19;3;3;5;2;2;1;0;0;0;0;1;513760,185664529910000;5426598,392883770200000;9,188098821000040;48,992133932000058;0
22238;08;1;16;049;2019;01;12;3;2;6;4;0;0;1;1;0;0;0;525806,459095262920000;5385810,286702303200000;9,350201855000023;48,624828456000046;0
22240;08;1;15;046;2019;01;09;3;2;6;4;0;0;1;1;0;0;0;509250,710306791590000;5390598,717165947000000;9,125643111000045;48,668369887000040;0
22242;08;1;11;000;2019;01;09;3;3;5;3;0;1;1;0;0;0;0;507786,631467991510000;5395935,416806684800000;9,105858633000025;48,716399255000056;1
22244;08;4;37;104;2019;01;14;2;3;3;6;0;1;0;0;0;0;0;518332,729792521340000;5326926,646172933300000;9,246215953000046;48,095343344000071;1
