OID_;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstige;ULICHTVERH;IstGkfz;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLAE;IstStrassenzustand
71589;08;3;17;085;2021;01;17;1;3;6;4;0;1;1;0;0;1;0;435374,573555746115744;5364658,404649449512362;8,126336546000061;48,431754536000028;08210124317600520730;1
71592;08;3;17;001;2021;01;17;6;2;5;3;1;1;0;0;0;2;0;430448,721025614067912;5386453,498734993860126;8,056116718000055;48,627279602000044;08210129317100521780;1
71595;08;4;37;100;2021;01;14;5;2;6;4;0;1;1;0;0;0;0;536946,936698891222477;5318185,685900302603841;9,495449958000052;48,015895463000049;08210114437000484020;2
71596;08;3;37;002;2021;01;16;2;3;4;1;1;1;0;0;0;1;0;434393,853442827239633;5271145,268869109451771;8,127389838000056;47,590398835000030;08210111337200506710;0
71616;08;1;36;088;2021;02;17;3;3;5;3;1;1;0;0;0;0;0;580399,499700385145843;5410920,905658049508929;10,095852315000059;48,846048532000054;08210202136100532410;1
71641;08;1;21;000;2021;01;08;4;3;5;3;1;1;0;0;0;0;0;516067,831079117022455;5442278,536457879468799;9,220266101000050;49,133128173000046;08210127121200514770;1
71648;08;1;16;058;2021;02;12;2;2;6;2;0;1;1;0;0;0;0;534037,094686586409807;5395240,949522027745843;9,462666833000071;48,709271485000045;08210208116010544190;0
71658;08;4;21;000;2021;01;18;1;3;6;4;0;1;1;0;0;2;0;574256,480872313492000;5362356,543685562908649;10,003437447000067;48,409986897000067;08210110421200476910;0
71660;08;4;36;095;2021;02;14;5;3;0;7;1;0;0;0;0;0;0;537421,078595304861665;5294846,969689287245274;9,499781960000064;47,805889823000030;08210204436000533620;0
71668;08;2;25;014;2021;01;14;3;3;2;6;1;1;0;0;0;0;0;523272,151999999769032;5485634,170999553054571;9,321555115000024;49,522879836000072;08210105225200476850;0
71670;08;4;16;023;2021;01;19;7;3;6;4;0;1;1;0;0;2;0;507979,973482029512525;5370515,195904465392232;9,107998456000075;48,487710790000051;08210109416010476030;0
71676;08;2;15;090;2021;01;17;5;2;6;4;0;1;1;0;0;2;0;465362,668024802580476;5432452,492590537294745;8,526022407000028;49,043975014000068;08210128212010509670;1
71682;08;2;31;000;2021;02;18;2;3;6;2;0;0;1;0;1;2;0;474813,662345890887082;5416817,259150890633464;8,656315196000037;48,903787033000071;08210201231000590880;1
71690;08;1;36;028;2021;02;14;5;3;5;3;1;1;0;0;0;0;0;566802,063095123507082;5405114,153600512072444;9,909599308000054;48,795430729000032;08210204136300551430;0
71741;08;3;17;150;2021;01;16;3;2;5;3;1;1;0;0;0;0;0;410285,729183964431286;5358512,313311509788036;7,788545035000027;48,373398789000078;08210119317000485030;0
71766;08;3;17;001;2021;02;18;4;3;0;1;1;0;0;0;0;2;0;431608,707973615266383;5387569,860783299431205;8,071672564000039;48,637449218000029;08210210317100545130;2
71770;08;4;35;016;2021;02;04;3;3;7;7;1;0;0;0;0;2;0;534367,216671763919294;5279095,213261604309082;9,457753317000027;47,664336618000050;08210202435100548130;1
71774;08;1;19;055;2021;01;13;3;3;5;3;1;1;0;0;0;0;0;543228,792000001296401;5405081,652999525889754;9,588636843000074;48,797224388000075;08210126119300517530;1
71782;08;4;35;057;2021;02;16;7;3;2;6;1;0;0;0;0;0;0;544588,315026123076677;5279191,164381267502904;9,593896102000031;47,664576026000077;08210206435100550230;0
71826;08;2;12;000;2021;01;14;2;3;3;6;1;1;0;0;0;0;0;455185,936062396503985;5428250,209038278087974;8,387235611000051;49,005519281000034;08210111212010481690;0
71830;08;3;15;004;2021;02;06;2;3;5;3;1;1;0;0;0;2;0;394434,875487425364554;5293749,337815148755908;7,590571454000042;47,788448193000079;08210201311400552300;1
71835;08;3;17;096;2021;02;14;2;2;5;3;1;0;0;0;0;0;1;420850,992744342423975;5368360,278539123013616;7,929326576000051;48,463394578000077;08210208317010541640;1
71843;08;3;35;061;2021;02;16;7;3;0;1;1;0;0;0;0;0;0;494269,672222501598299;5283103,628866845741868;8,923621187000037;47,701290787000062;08210206335300676070;0
71845;08;3;17;026;2021;02;07;2;3;5;2;1;0;0;0;1;2;0;414936,279692295938730;5346526,682340610772371;7,853748321000069;48,266233593000038;08210201317300541510;1
71854;08;1;18;076;2021;02;12;6;3;6;4;0;1;1;0;0;0;0;504634,917867662385106;5422859,323066007345915;9,063315891000059;48,958634501000063;08210205118600544990;0
71865;08;2;16;043;2021;01;12;6;2;5;3;1;1;0;0;0;0;0;443771,879764632321894;5412231,027247082442045;8,233388369000068;48,860493796000071;08210108211000481380;1
71871;08;4;37;105;2021;01;10;6;3;6;4;0;1;1;0;0;0;0;519506,095004240050912;5323828,368772383779287;9,261833062000051;48,067433406000077;08210129437000510070;1
