OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
79254;08230113327100666390;08;3;27;050;2023;01;13;6;3;2;3;0;1;1;1;0;0;0;0;486677,958700000308454;5314960,559800000861287;8,821451628000034;47,987808011000027;1
79263;08230113212102680270;08;2;15;110;2023;01;15;6;2;6;4;0;1;0;1;1;0;0;0;462606,680499999783933;5420960,696499999612570;8,489368528000057;48,940442155000028;1
79267;08230113121500667900;08;1;25;005;2023;01;13;6;3;6;2;0;0;0;1;1;0;0;0;515735,756000000052154;5452967,236999999731779;9,216132173000062;49,229284501000052;1
79280;08230112335100674530;08;3;35;002;2023;01;11;5;3;0;7;0;0;1;0;0;0;0;0;505612,806599999777973;5284461,184599999338388;9,074829871000077;47,713506617000064;1
79282;08230112311010715830;08;3;11;000;2023;01;14;5;3;5;3;0;0;1;0;0;0;0;1;414773,183500000275671;5319088,807800000533462;7,857043980000071;48,019403553000075;1
79283;08230112311010686520;08;3;11;000;2023;01;10;5;3;0;1;0;0;1;0;0;0;0;0;414741,161100000143051;5319029,840399999171495;7,856626354000070;48,018868847000078;1
79299;08230111436200701540;08;4;36;064;2023;01;12;4;3;2;1;0;0;1;0;0;0;0;1;545575,503299999982119;5292198,978700000792742;9,608405469000047;47,781540037000070;1
79307;08230111225200688940;08;2;25;032;2023;01;18;4;2;4;2;2;1;1;1;0;0;0;0;534108,264600000344217;5495312,329900000244379;9,472113643000057;49,609416361000058;1
79313;08230111121200687090;08;1;21;000;2023;01;06;4;2;6;4;2;1;0;1;1;0;0;0;514257,419700000435114;5441119,359200000762939;9,195407231000047;49,122745630000054;1
79320;08230110325102671880;08;3;25;012;2023;01;13;3;3;6;4;0;0;0;1;1;0;0;0;463672,327899999916553;5355100,296199999749660;8,509696980000058;48,348035972000048;1
79324;08230110235200669840;08;2;35;020;2023;01;15;3;3;5;3;0;0;1;1;0;0;0;0;476930,334999999962747;5380738,580000000074506;8,687218537000035;48,579309779000027;1
79325;08230110231102662620;08;2;36;028;2023;01;14;3;3;6;7;0;0;0;1;1;0;0;0;494135,963999999687076;5422324,023900000378489;8,919901308000021;48,953808685000070;1
79328;08230110212702662180;08;2;15;096;2023;01;09;3;3;5;3;0;0;1;1;0;0;0;0;463629,059100000187755;5418364,151599999517202;8,503560863000075;48,917146181000078;1
79331;08230110121200682980;08;1;21;000;2023;01;19;3;3;6;4;2;1;0;1;1;0;0;0;516771,584499999880791;5443343,775200000032783;9,229957761000037;49,142691537000076;1
79332;08230110119300670830;08;1;19;067;2023;01;07;3;2;4;7;0;1;1;1;0;0;0;0;537919,402800000272691;5408396,760500000789762;9,516649678000022;48,827392103000079;1
79336;08230109436200684140;08;4;36;082;2023;01;17;2;3;5;2;2;1;1;1;0;0;0;0;547216,064000000245869;5294145,485999999567866;9,630516414000056;47,798934541000051;1
79341;08230109326400681040;08;3;26;074;2023;01;18;2;3;5;3;2;1;1;1;0;0;0;0;459557,928799999877810;5324344,502299999818206;8,457101233000060;48,071092894000060;1
79363;08230108415400658600;08;4;15;061;2023;01;13;1;3;6;6;0;1;1;0;1;0;0;0;513372,510700000450015;5377549,861500000581145;9,181204634000039;48,550905322000062;1
79367;08230108226400694730;08;2;26;037;2023;01;14;1;3;5;3;0;1;1;1;0;0;0;0;466559,932000000029802;5468957,263000000268221;8,539364764000027;49,372401593000063;1
79372;08230108118400711630;08;1;18;001;2023;01;04;1;3;8;1;2;0;1;0;0;0;0;0;525419,950299999676645;5418984,650399999693036;9,347007554000072;48,923274446000050;1
79373;08230108115400667500;08;1;15;045;2023;01;19;1;3;0;7;2;0;1;0;0;0;0;0;500744,578999999910593;5396931,475999999791384;9,010124299000040;48,725408040000048;1
79376;08230107426010663320;08;4;26;031;2023;01;11;7;2;5;3;0;0;1;1;0;0;0;0;582815,764100000262260;5328770,055800000205636;10,112503540000034;48,106807289000074;1
79378;08230107417300675780;08;4;17;051;2023;01;15;7;3;4;6;0;0;1;0;0;0;0;0;493204,792399999685585;5358247,074699999764562;8,908234724000067;48,377354620000062;1
79379;08230107317200674940;08;3;17;057;2023;01;14;7;3;6;4;0;0;0;1;1;0;0;0;414344,004499999806285;5379160,383300000801682;7,839105356000061;48,559684105000031;1
79381;08230107311010657490;08;3;15;073;2023;01;14;7;3;0;7;0;0;1;0;0;0;0;0;412576,386800000444055;5313171,694199999794364;7,828794788000039;47,965880402000039;1
79394;08230107117300663420;08;1;17;026;2023;01;20;7;3;6;4;2;0;0;1;1;0;0;0;549051,695100000128150;5394116,486099999397993;9,666614745000061;48,698156147000077;1
79407;08230105317100702040;08;3;17;098;2023;01;19;5;3;5;2;2;1;1;1;0;0;0;0;438257,984000000171363;5366432,934200000017881;8,165051046000031;48,448006713000041;1
79408;08230105231000656930;08;2;37;028;2023;01;11;5;3;6;7;0;0;0;0;1;0;0;1;456344,975800000131130;5368368,453700000420213;8,409426607000057;48,466933233000077;1
79410;08230105216100656320;08;2;16;043;2023;01;11;5;3;0;1;0;0;1;0;0;0;0;0;441810,412800000049174;5411771,472400000318885;8,206713780000030;48,856179216000044;1
79415;08230105121500656980;08;1;25;068;2023;01;15;5;3;6;4;0;0;0;1;1;0;0;0;519833,518600000068545;5459869,665999999269843;9,272756707000042;49,291253576000031;1
79418;08230105119100672730;08;1;19;083;2023;01;16;5;2;4;6;1;0;1;0;0;0;0;0;534059,785400000400841;5419432,283199999481440;9,464983715000074;48,926885963000075;1
79428;08230104127100694370;08;1;27;052;2023;01;05;4;3;6;7;2;0;0;0;1;0;0;1;540641,813000000081956;5438301,105000000447035;9,556726724000043;49,096217073000048;1
79429;08230104127100659120;08;1;27;012;2023;01;01;4;3;6;7;2;0;0;1;1;0;0;0;566225,231999999843538;5432382,099199999123812;9,906172091000030;49,040757355000039;1
79432;08230104115300662390;08;1;15;028;2023;01;13;4;3;3;2;0;0;1;1;0;0;0;0;501079,962899999693036;5405040,344200000166893;9,014705911000021;48,798354843000027;1
79448;08230102437200653780;08;4;37;104;2023;01;16;2;3;5;3;0;0;1;1;0;0;0;0;516784,917000000365078;5326341,250000000000000;9,225405359000035;48,090119209000079;1
79457;08230102231000671600;08;2;37;040;2023;01;16;2;3;4;6;0;1;1;0;0;1;0;0;478377,129800000227988;5367590,463199999183416;8,707515851000039;48,461077622000062;1
79460;08230102211000664020;08;2;16;017;2023;01;05;2;2;3;6;2;0;1;1;0;0;0;0;452133,813699999824166;5399848,266200000420213;8,348829964000060;48,749808280000082;1
79464;08230102119400665250;08;1;19;090;2023;01;10;2;2;6;7;0;0;0;1;1;0;0;0;533771,330000000074506;5407334,183000000193715;9,460046953000074;48,818073003000052;1
79468;08230101435200653320;08;4;35;066;2023;01;16;1;2;4;6;0;0;1;0;0;0;0;0;517744,869900000281632;5284695,595300000160933;9,236583004000067;47,715396288000079;1
79476;08230101119200683180;08;1;19;020;2023;01;03;1;3;9;1;2;0;1;0;0;0;0;0;519798,790000000037253;5406227,938999999314547;9,269656870000063;48,808723896000060;1
79478;08230101118300655190;08;1;18;046;2023;01;01;1;3;7;7;2;0;1;0;0;0;0;0;513645,702399999834597;5412713,414000000804663;9,186069166000038;48,867231657000048;1
79746;08230104317100714920;08;3;17;001;2023;01;16;4;3;0;1;1;0;1;0;0;0;0;1;432896,520800000056624;5383804,799300000071526;8,089759895000043;48,603721763000067;1
80009;08230113111500690640;08;1;11;000;2023;01;18;6;3;5;3;2;0;1;1;0;0;0;0;508232,235799999907613;5407858,647500000894070;9,112155206000068;48,823654436000027;1
80154;08230103115100667490;08;1;15;024;2023;01;07;3;3;5;3;0;0;1;1;0;0;0;0;500427,409699999727309;5387004,396299999207258;9,005801373000054;48,636103165000065;1
80158;08230102426300653880;08;4;26;097;2023;01;10;2;3;5;3;0;0;1;1;0;0;0;0;534919,788599999621511;5333643,545199999585748;9,469531385000039;48,155079990000047;1
80224;08230104425000656590;08;4;25;071;2023;01;16;4;3;3;2;1;0;1;1;0;0;0;0;551187,716199999675155;5370994,694399999454618;9,692791514000021;48,489990328000033;1
80296;08230101121500661870;08;1;25;068;2023;01;00;1;3;6;4;2;0;0;1;1;0;0;0;518855,362300000153482;5458730,720300000160933;9,259251227000050;49,281039640000074;1
80338;08230104222014656240;08;2;22;000;2023;01;19;4;2;6;4;2;1;0;0;1;0;0;1;462137,058699999935925;5485040,462799999862909;8,476905683000041;49,516803883000080;1
80473;08230102212302653760;08;2;12;000;2023;01;15;2;2;0;7;0;1;1;0;0;0;0;0;455999,053999999538064;5429209,594000000506639;8,398249126000053;49,014207556000031;1
80484;08230111117300663630;08;1;17;026;2023;01;15;4;3;5;3;0;1;1;1;0;0;0;0;546175,566999999806285;5392968,080000000074506;9,627402184000061;48,688045108000040;1
80490;08230110118000677790;08;1;15;051;2023;01;11;3;2;8;7;0;1;1;0;0;0;0;0;504083,219800000078976;5386823,576999999582767;9,055421099000057;48,634463293000067;1
80509;08230107335200674990;08;3;35;025;2023;01;15;7;2;0;1;0;0;1;0;0;0;0;0;499325,856999999843538;5282011,543600000441074;8,991016117000072;47,691489636000028;1
