OBJECTID;UIDENTSTLA;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
39164;08170102317300283920;08;3;17;065;2017;01;21;2;3;5;3;1;1;0;0;0;2;1;414175,785800000010000;5354956,847699999800000;7,841788149000024;48,341959249000070
39192;08170102235010284250;08;2;36;004;2017;01;17;2;2;5;2;1;1;0;0;0;2;1;473334,576999999990000;5413073,923000000400000;8,636376716000029;48,870051520000061
39255;08170102119300282440;08;1;19;067;2017;01;18;2;3;6;4;0;1;1;0;0;2;2;539219,375099999950000;5405869,200299999700000;9,534119328000031;48,804574666000065
39303;08170102111310283700;08;1;11;000;2017;01;17;2;2;6;7;0;1;1;0;0;2;2;518228,664899999970000;5403672,403800000400000;9,248158772000068;48,785782725000047
39309;08170101335100280530;08;3;35;043;2017;01;01;1;3;9;1;1;0;0;0;0;2;0;513559,634000000020000;5279462,643000000200000;9,180621135000024;47,668413601000054
39310;08170101325302280390;08;3;25;053;2017;01;10;1;3;6;2;0;1;1;0;0;0;0;454263,222000000010000;5341320,769000000300000;8,384204164000039;48,223461021000048
39312;08170101325010281630;08;3;26;074;2017;01;00;1;2;6;7;0;1;1;0;0;2;1;465456,481000000030000;5324012,846500000000000;8,536307928000042;48,068455885000049
39333;08170101121400281520;08;1;25;013;2017;01;00;1;3;6;2;0;1;1;0;0;2;0;506125,936999999980000;5435045,410000000100000;9,083868070000051;49,068242515000065
39370;08170101111500280690;08;1;11;000;2017;01;16;1;3;6;4;0;0;1;0;1;0;0;507707,888199999990000;5406008,794499999800000;9,104976806000025;48,807020088000058
39758;08170104299200287840;08;2;12;000;2017;01;16;4;3;5;3;1;1;0;0;0;0;1;452764,406100000020000;5431752,367900000000000;8,353719232000060;49,036840656000038
39792;08170104119400297780;08;1;19;079;2017;01;16;4;3;5;2;1;1;0;0;0;0;1;522355,706000000010000;5410136,639999999700000;9,304694335000022;48,843798915000036
39806;08170104436200294150;08;4;36;064;2017;01;13;4;3;2;2;1;1;0;0;0;0;1;546058,341000000010000;5293481,214599999600000;9,614986755000075;47,793041974000062
39814;08170104116010292070;08;1;16;042;2017;01;17;4;2;6;4;0;1;1;0;0;2;1;517862,121199999990000;5382149,857300000300000;9,242238341000075;48,592176026000061
39830;08170110121300316990;08;1;21;000;2017;01;18;3;3;6;2;0;0;1;0;1;2;1;515630,071300000010000;5442597,561999999900000;9,214277479000032;49,136009209000065
39845;08170103337010286200;08;3;37;045;2017;01;14;3;2;6;4;0;1;1;0;0;0;0;436926,774700000010000;5289022,712399999600000;8,158494000000076;47,751488810000069
39846;08170109435100309250;08;4;35;016;2017;01;15;2;2;6;4;0;1;1;0;0;0;1;534959,836499999980000;5279468,243700000500000;9,465676287000065;47,667661165000027
39856;08170109311010304100;08;3;36;069;2017;01;19;2;2;6;4;0;1;1;0;0;2;0;409150,477000000010000;5268375,014700000200000;7,792273822000027;47,562432867000041
39862;08170109235010298900;08;2;31;000;2017;01;06;2;2;6;4;0;1;1;0;0;1;1;477646,321400000020000;5415276,243999999900000;8,695052491000070;48,890033312000071
39866;08170109128300315030;08;1;28;039;2017;01;12;2;3;6;6;0;1;1;0;0;0;1;523521,363599999980000;5510415,798499999600000;9,326485072000025;49,745768033000047
39898;08170103317000293960;08;3;17;057;2017;01;06;3;3;5;3;1;1;0;0;0;2;1;412253,655600000000000;5381447,354600000200000;7,810298668000030;48,579964829000062
39902;08170103299200295100;08;2;12;000;2017;01;20;3;1;6;4;0;1;1;0;0;2;0;459883,367000000030000;5431488,158599999700000;8,451142414000060;49,034968409000044
39903;08170108317100294940;08;3;17;001;2017;01;18;1;3;0;1;1;0;0;0;0;2;2;430043,860999999980000;5385952,232499999900000;8,050707702000068;48,622725573000025
39915;08170108121400291520;08;1;25;013;2017;01;10;1;3;5;3;1;1;0;0;0;0;1;504798,518999999970000;5435802,821999999700000;9,065703851000023;49,075067587000035
39957;08170106235200295650;08;2;35;080;2017;01;15;6;3;5;3;1;1;0;0;0;0;0;477941,688399999980000;5386806,070600000200000;8,700607922000074;48,633930026000030
40025;08170111325010315020;08;3;27;002;2017;01;12;4;2;6;4;0;1;1;0;0;0;1;477474,313399999980000;5326852,125400000300000;8,697475617000066;48,094538438000029
40036;08170111231102317040;08;2;36;046;2017;01;15;4;3;6;5;0;1;1;0;0;0;1;483512,875000000000000;5418618,213000000500000;8,774947938000025;48,920280508000076
40046;08170115435100330320;08;4;35;016;2017;01;18;1;2;0;1;1;0;0;0;0;2;2;534778,166800000010000;5278461,313400000300000;9,463176322000038;47,658611183000062
40051;08170111136200304710;08;1;36;010;2017;01;17;4;3;6;4;0;1;1;0;0;2;1;599734,531199999970000;5412415,893799999700000;10,359684547000029;48,856687753000074
40054;08170115417300310030;08;4;17;051;2017;01;15;1;3;6;4;0;1;1;0;0;0;1;491309,963800000030000;5358690,665400000300000;8,882637057000068;48,381322160000082
40067;08170111117010307550;08;1;17;049;2017;01;18;4;3;6;4;0;1;1;0;0;2;1;555638,106499999990000;5391699,126600000100000;9,755791237000040;48,675858577000042
40068;08170111111500315170;08;1;11;000;2017;01;18;4;2;6;4;0;1;1;0;0;2;1;518137,405000000030000;5403855,835000000000000;9,246924499000045;48,787435516000073
40076;08170116116010326730;08;1;16;019;2017;01;15;2;3;6;4;0;1;1;0;0;0;0;522208,711499999980000;5396893,850300000000000;9,301975346000063;48,724674314000026
40107;08170115325010318570;08;4;17;044;2017;01;04;1;2;6;7;0;1;1;0;0;2;2;496691,045600000010000;5331925,136800000400000;8,955520401000058;48,140569928000048
40118;08170115221300310600;08;2;21;000;2017;01;20;1;3;1;5;0;1;1;0;0;2;1;484062,803300000030000;5472641,352800000500000;8,780315326000050;49,406249006000053
40165;08170114311010319860;08;3;11;000;2017;01;10;7;3;6;4;0;0;1;0;1;0;1;414573,566600000020000;5318068,946200000100000;7,854570748000072;48,010202865000053
40180;08170114222014309860;08;2;22;000;2017;01;21;7;1;6;4;0;1;1;0;0;2;1;465786,168000000010000;5476996,798000000400000;8,528013834000035;49,444671614000072
40184;08170110325010300660;08;4;17;031;2017;01;14;3;3;6;2;0;1;1;0;0;0;1;497678,927600000000000;5355981,141699999600000;8,968667773000050;48,357001235000041
40187;08170114199200319760;08;1;18;048;2017;01;18;7;2;6;4;0;1;1;0;0;2;1;512670,021300000020000;5417221,009399999900000;9,172904852000045;48,907801568000082
40200;08170114119100310610;08;1;19;008;2017;01;18;7;3;5;2;1;1;0;0;0;2;1;530887,961299999970000;5421263,466799999600000;9,421822073000044;48,943524764000074
40222;08170113327200308940;08;3;27;049;2017;01;18;6;3;6;4;0;1;1;0;0;2;2;472689,315699999980000;5324639,087299999800000;8,633354933000021;48,074440880000054
40225;08170113326100318690;08;3;26;005;2017;01;16;6;3;6;1;0;1;1;0;0;0;2;464966,536399999980000;5298585,775899999800000;8,531802613000025;47,839662883000074
40227;08170113325010306140;08;3;27;029;2017;01;05;6;2;6;4;0;1;1;0;0;2;1;489745,570599999980000;5327506,473000000200000;8,862264492000065;48,100741288000052
40229;08170113311010308910;08;3;11;000;2017;01;13;6;3;0;7;0;0;1;0;1;0;0;411244,875899999980000;5320133,149100000000000;7,809520758000076;48,028317167000068
40230;08170113311010306550;08;3;36;050;2017;01;13;6;2;6;4;0;1;1;0;0;0;1;399240,752400000000000;5275190,755300000300000;7,659006629000032;47,622280339000042
40235;08170113216100319270;08;2;16;043;2017;01;18;6;3;5;2;1;1;0;0;0;2;1;442432,406699999990000;5412440,209200000400000;8,215098402000024;48,862252524000041
40267;08170112325010310420;08;2;37;054;2017;01;16;5;1;6;4;0;1;1;0;0;1;1;468961,624300000020000;5376107,219100000300000;8,579525821000061;48,537301601000081
40268;08170112316100304460;08;3;16;011;2017;01;17;5;3;0;3;1;1;0;0;0;2;1;414514,488000000010000;5329269,905899999700000;7,851539636000041;48,110950798000033
40279;08170112212402312540;08;2;12;000;2017;01;20;5;2;5;3;1;1;0;0;0;2;1;457009,384000000020000;5428266,679999999700000;8,412165350000066;49,005797151000081
40280;08170112212402307330;08;2;12;000;2017;01;14;5;2;7;7;1;0;0;0;1;0;0;455662,517500000020000;5427480,753300000000000;8,393835763000027;48,998632364000059
40287;08170110235010313940;08;2;31;000;2017;01;18;3;3;6;4;0;1;1;0;0;2;1;477614,561899999970000;5411480,583700000300000;8,694826979000027;48,855887590000066
40288;08170112135010316860;08;4;25;072;2017;01;06;5;2;5;2;1;1;0;0;0;2;1;582819,886999999990000;5372407,411999999500000;10,121122920000062;48,499324739000031
40289;08170112127100306960;08;1;27;076;2017;01;17;5;3;6;4;0;1;1;0;0;2;1;553065,702999999980000;5439093,486300000000000;9,727005224000038;49,102398166000057
40298;08170112111500314460;08;1;11;000;2017;01;15;5;3;6;4;0;1;1;0;0;0;1;510146,315100000010000;5402891,009999999800000;9,138109622000059;48,778937737000035
40305;08170111335010304020;08;4;35;030;2017;01;07;4;2;5;3;1;0;0;0;1;2;1;540776,464000000040000;5271936,934999999600000;9,542450576000022;47,599558660000071
40312;08170117325010343390;08;2;37;002;2017;01;11;3;2;6;4;0;1;1;0;0;0;1;455148,177000000030000;5353635,447999999900000;8,394811285000060;48,334310112000026
40315;08170117311010326410;08;3;36;014;2017;01;06;3;2;6;4;0;1;1;0;0;2;1;393367,797499999990000;5278706,299100000400000;7,580011501000058;47,652962472000070
40327;08170117221000330540;08;2;26;010;2017;01;17;3;3;6;4;0;1;1;0;0;1;0;481078,965600000000000;5458959,770999999700000;8,739834988000041;49,283097941000051
40337;08170117126010342050;08;1;21;000;2017;01;17;3;2;6;4;0;1;1;0;0;2;0;515835,025399999980000;5444566,951000000400000;9,217164637000053;49,153719255000055
40352;08170117115100332380;08;1;15;046;2017;01;07;3;3;6;4;0;1;1;0;0;2;2;508817,867000000030000;5389659,503700000200000;9,119744231000027;48,659926868000070
40372;08170121336100332240;08;3;36;050;2017;01;09;7;3;2;6;1;1;0;0;0;0;1;399802,040600000010000;5274658,023500000100000;7,666596531000039;47,617575299000066
40377;08170116435100333600;08;4;35;035;2017;01;17;2;3;5;3;1;1;0;0;0;1;1;545045,464299999990000;5284572,122299999900000;9,600540296000077;47,712957811000081
40408;08170121118500335090;08;1;18;053;2017;01;15;7;2;2;6;1;1;0;0;0;0;0;514147,969500000010000;5427661,224999999600000;9,193436730000030;49,001685949000034
40411;08170116336100325780;08;3;36;050;2017;01;18;2;3;5;3;1;1;0;0;0;1;2;399240,378600000000000;5274997,034400000200000;7,659046226000044;47,620537700000057
40413;08170116317300331090;08;3;17;065;2017;01;13;2;3;6;4;0;1;1;0;0;0;1;416047,334299999990000;5354154,313500000200000;7,867199773000039;48,334992048000061
40416;08170116317000323530;08;3;17;089;2017;01;16;2;2;6;4;0;1;1;0;0;0;0;427483,449700000000000;5377377,439600000200000;8,017464915000062;48,545304207000072
40419;08170121115100360630;08;1;15;024;2017;01;14;7;3;5;3;1;1;0;0;0;0;0;501129,261600000030000;5386770,636699999700000;9,015327204000073;48,633999346000053
40430;08170120336200353310;08;3;36;069;2017;01;21;6;3;5;2;0;1;1;0;0;2;1;408535,599200000000000;5268096,534400000200000;7,784159684000031;47,559841348000077
