OBJECTID_1;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
39396;08;2;11;000;2018;01;01;2;2;6;4;2;0;1;1;0;0;0;1;446817,860300000000000;5402617,332200000100000;8,276159773000074;48,774285477000035
39404;08;1;27;023;2018;01;07;3;3;5;3;2;1;1;0;0;0;0;1;552550,245000000000000;5426095,444000000100000;9,718258147000029;48,985527132000072
39428;08;1;18;046;2018;01;09;4;3;5;3;0;1;1;0;0;0;0;1;513413,885000000010000;5412404,279000000100000;9,182898048000027;48,864455804000045
39433;08;4;16;041;2018;01;02;2;2;6;4;2;0;1;1;0;0;0;0;504509,094400000000000;5373662,708499999700000;9,061058707000029;48,516061539000077
39463;08;2;37;019;2018;01;17;4;3;6;4;2;0;0;1;0;0;1;1;463385,143999999970000;5368366,148000000000000;8,504663469000036;48,467361779000043
39565;08;3;35;043;2018;01;06;2;3;5;3;2;1;0;0;1;0;0;1;511131,506300000010000;5281658,440299999900000;9,148333367000021;47,688217004000080
39576;08;4;35;016;2018;01;17;3;2;3;2;2;1;1;0;0;0;0;0;534504,863200000020000;5277945,782800000200000;9,459495884000035;47,653987364000045
39671;08;2;37;027;2018;01;10;4;3;6;4;0;0;1;1;0;0;0;1;481352,525000000020000;5369333,335000000000000;8,747684707000076;48,476852371000064
39701;08;1;25;013;2018;01;10;4;3;5;3;0;1;1;0;0;0;0;1;504948,370999999980000;5436164,597000000100000;9,067760128000032;49,078320745000042
39733;08;1;21;000;2018;01;09;4;2;3;6;0;1;1;0;0;0;0;1;514087,619200000020000;5443170,351900000100000;9,193151680000028;49,141198960000054
39736;08;2;26;085;2018;01;08;2;2;6;4;1;0;1;1;0;0;0;0;488573,568600000000000;5457340,025899999800000;8,842931822000026;49,268714157000034
39746;08;2;21;000;2018;01;12;3;2;0;3;0;1;1;0;0;0;0;0;473821,415700000010000;5472836,636599999900000;8,639133450000031;49,407651163000025
39763;08;2;12;000;2018;01;16;4;3;0;1;0;1;0;0;0;0;0;0;452613,762700000020000;5428445,664599999800000;8,352044519000060;49,007085280000069
