OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
5092;08200101128010340430;08;1;28;115;2020;01;17;4;1;6;4;2;0;1;1;0;0;0;548833,355800000020000;5495959,646999999900000;9,676000580000050;49,614227734000053;0
5134;08200103212010342200;08;2;12;000;2020;01;16;6;3;0;1;0;1;0;0;0;0;0;461768,889000000430000;5427287,720400000000000;8,477333859000055;48,997304365000048;1
5208;08200103121200341880;08;1;21;000;2020;01;12;6;3;6;6;0;0;1;1;0;0;0;515954,529000000100000;5442423,032999999800000;9,218718628000033;49,134430921000046;0
5220;08200101436300340160;08;4;36;081;2020;01;14;4;3;0;1;0;1;0;0;0;0;0;563052,947700000370000;5281436,676100000700000;9,840137567000056;47,683241784000074;0
5331;08200102231000345290;08;2;37;040;2020;01;14;5;3;0;1;0;1;0;0;0;0;0;483726,121000000280000;5365886,880999999100000;8,779935166000030;48,445912632000045;2
5915;08200101317500343080;08;3;17;096;2020;01;02;4;2;8;1;2;1;0;0;0;0;0;421656,602400000210000;5368802,413499999800000;7,940139549000037;48,467472400000077;2
6169;08200101435200433340;08;4;35;059;2020;01;09;4;2;0;1;0;1;0;0;0;0;0;514785,793899999930000;5291759,955499999200000;9,197371619000023;47,779032646000076;1
6267;08200103426010344050;08;4;25;104;2020;01;15;6;3;0;1;0;1;0;0;0;0;0;551239,931400000120000;5342141,224500000500000;9,689983725000047;48,230421290000038;1
6337;08200103317300344860;08;3;17;059;2020;01;15;6;3;0;1;0;1;0;0;0;0;0;412829,718799999920000;5349668,657500000700000;7,824719906000041;48,294208770000068;1
6412;08200113118000384340;08;1;18;018;2020;01;06;2;1;6;4;2;0;1;1;0;0;0;512363,000300000420000;5431778,379400000000000;9,169157497000072;49,038760332000038;1
6421;08200112221011382870;08;2;26;010;2020;01;12;1;2;2;6;0;1;1;0;0;0;0;480232,105899999850000;5459978,478000000100000;8,728140389000032;49,292234473000065;0
6427;08200111435100363020;08;4;35;016;2020;01;11;7;3;0;3;0;1;1;0;0;0;0;536152,038999999870000;5279049,410000000100000;9,481521580000049;47,663827203000039;1
6435;08200111317500359640;08;3;17;005;2020;01;02;7;2;0;7;2;1;0;0;0;0;0;424598,126000000160000;5376581,450200000800000;7,978521772000022;48,537804126000026;1
6440;08200111226400355410;08;2;26;084;2020;01;12;7;3;5;3;0;1;1;0;0;0;0;467946,571200000120000;5471918,320299999800000;8,558226305000062;49,399110076000056;0
6443;08200111128300355930;08;1;28;131;2020;01;16;7;3;5;2;0;1;1;0;0;0;0;532962,433400000450000;5509579,008099999300000;9,457456004000051;49,737798404000046;0
6449;08200110617123389390;08;4;26;021;2020;01;21;6;2;5;3;2;1;1;0;0;0;0;557659,783599999730000;5327079,304199999200000;9,774381807000054;48,094371397000032;1
6450;08200110435100412150;08;4;35;016;2020;01;16;6;3;5;3;2;1;1;0;0;0;0;537231,002999999560000;5281808,377000000300000;9,496127388000048;47,688589411000066;0
6458;08200110335100354280;08;3;35;043;2020;01;12;6;3;5;3;0;1;1;0;0;0;0;512502,303700000050000;5279837,487299999200000;9,166547759000025;47,671807633000071;0
6459;08200110325069383500;08;3;27;019;2020;01;18;6;2;6;4;2;0;1;1;0;0;0;481772,336699999870000;5331241,220699999500000;8,755010657000071;48,134164260000034;1
6467;08200110311010353820;08;3;11;000;2020;01;13;6;2;0;7;0;1;0;0;0;0;0;414014,169599999670000;5315452,767799999600000;7,847595983000076;47,986594356000069;0
6471;08200110216200350870;08;2;16;007;2020;01;05;6;3;5;2;2;1;1;0;0;0;0;433793,053600000220000;5395936,302100000900000;8,099978876000023;48,712940632000027;1
6472;08200110212702374290;08;2;15;017;2020;01;09;6;3;3;2;0;1;1;0;0;0;0;453774,936999999920000;5421478,306700000500000;8,368713207000042;48,944501217000038;0
6476;08200110136300382580;08;1;36;065;2020;01;13;6;2;5;2;0;1;1;0;0;0;0;559310,173200000080000;5405969,740199999900000;9,807722047000027;48,803886595000051;0
6483;08200110119200364680;08;1;19;020;2020;01;14;6;3;5;3;0;1;1;0;0;0;0;519763,231999999840000;5405794,825999999400000;9,269151728000054;48,804828821000058;0
6484;08200110119010368860;08;1;19;042;2020;01;18;6;2;6;4;2;0;1;1;0;0;0;528295,830699999820000;5415415,831900000600000;9,386017927000069;48,891046140000071;1
6485;08200110118300377590;08;1;18;051;2020;01;18;6;3;0;7;2;1;1;0;0;0;0;509255,044599999670000;5414932,000800000500000;9,126249728000062;48,887270660000070;1
6499;08200109435100375990;08;4;35;016;2020;01;16;5;3;5;3;0;1;1;0;0;0;0;535917,240699999970000;5280771,986099999400000;9,478535999000030;47,679338974000075;0
6501;08200109426010358910;08;4;25;108;2020;01;17;5;2;6;4;2;0;0;1;0;0;1;554359,112499999810000;5358209,078099999600000;9,734052040000051;48,374707575000059;0
6503;08200109416100350270;08;4;16;036;2020;01;09;5;3;6;4;0;0;1;1;0;0;0;495066,742399999870000;5368825,881400000300000;8,933254743000020;48,472544299000049;0
6505;08200109416010349630;08;4;16;041;2020;01;18;5;2;6;3;2;0;1;1;0;0;0;504809,534099999820000;5373557,321399999800000;9,065125813000066;48,515111207000075;0
6506;08200109337100364140;08;3;37;096;2020;01;14;5;3;5;3;0;1;1;0;0;0;0;420990,182599999940000;5267718,347300000500000;7,949756084000057;47,558074459000068;0
6515;08200109311010354600;08;3;36;091;2020;01;18;5;3;6;4;2;0;1;1;0;0;0;394549,496500000360000;5271748,807399999400000;7,597418191000031;47,590572936000058;0
6526;08200109212302350150;08;2;12;000;2020;01;06;5;3;3;2;2;1;0;0;0;0;0;455242,478199999780000;5429262,778000000900000;8,387897047000024;49,014631530000031;0
6530;08200109136300350910;08;1;36;065;2020;01;17;5;2;6;2;2;0;1;1;0;0;0;557400,030000000260000;5407552,429999999700000;9,781932483000048;48,818302345000063;0
6533;08200109127100378330;08;1;27;076;2020;01;17;5;3;6;4;2;0;1;1;0;0;0;556433,904400000350000;5439306,100999999800000;9,773175344000038;49,104010749000054;0
6542;08200109117200351130;08;1;17;006;2020;01;18;5;3;6;4;2;0;1;1;0;0;0;551441,966400000270000;5381680,176999999200000;9,697551778000047;48,586092696000037;0
6547;08200109115100360870;08;1;15;022;2020;01;07;5;3;5;3;1;1;1;0;0;0;0;497909,584200000390000;5385823,925200000400000;8,971632050000039;48,625480069000048;1
6556;08200108311100372930;08;3;15;059;2020;01;07;4;2;5;3;2;1;1;0;0;0;0;399198,062099999750000;5321969,315700000200000;7,647547543000030;48,043045029000041;0
6569;08200108212010370440;08;2;15;009;2020;01;02;4;1;6;4;2;0;0;1;0;0;1;474439,722000000070000;5438754,674000000600000;8,649831833000064;49,101108527000065;0
6571;08200108211000362710;08;2;16;033;2020;01;08;4;2;3;6;0;1;0;0;0;1;0;448402,099299999890000;5414581,389499999600000;8,296214892000023;48,882038056000056;0
6596;08200107317010348700;08;3;17;096;2020;01;07;3;3;5;3;2;1;1;0;0;0;0;422147,535199999810000;5370404,688600000000000;7,946481534000043;48,481945697000072;1
6598;08200107231102369410;08;2;36;068;2020;01;13;3;3;6;4;0;0;1;1;0;0;0;486794,972400000320000;5413128,456299999700000;8,819926329000055;48,870974825000076;0
6601;08200107222700369670;08;2;22;000;2020;01;17;3;3;1;6;2;1;1;0;0;0;0;461836,559600000270000;5481251,940400000700000;8,473120314000028;49,482709352000029;0
6608;08200107136300358570;08;1;36;079;2020;01;17;3;2;6;3;2;0;1;1;0;0;0;560250,710699999700000;5401752,361999999700000;9,819911255000022;48,765860687000043;1
6610;08200107136100368770;08;1;36;088;2020;01;08;3;3;0;7;0;0;0;1;0;1;0;582725,778300000350000;5407532,906400000700000;10,126869744000032;48,815270688000055;1
6618;08200107125102361920;08;1;25;013;2020;01;18;3;2;6;4;2;0;1;1;0;0;0;504798,519000000320000;5435802,822000000600000;9,065703851000023;49,075067587000035;1
6620;08200107121600353810;08;1;25;027;2020;01;07;3;3;0;1;2;1;0;0;0;0;0;520866,412499999630000;5445783,854199999900000;9,286228343000062;49,164515227000038;1
6627;08200107116010360670;08;1;16;076;2020;01;17;3;2;6;6;2;0;0;1;0;0;1;528711,076100000180000;5399428,955499999200000;9,390563741000051;48,747214050000082;1
6630;08200107111500347860;08;1;11;000;2020;01;14;3;3;6;4;0;0;1;1;0;0;0;511760,932900000360000;5406565,502200000000000;9,160192605000077;48,811964679000027;1
6633;08200106617113367680;08;1;35;019;2020;01;17;2;1;6;4;2;0;1;1;0;0;0;584210,920300000350000;5392420,840199999500000;10,144005947000039;48,679150034000031;0
6642;08200106311010349110;08;3;15;107;2020;01;17;2;2;6;7;2;0;0;1;0;0;1;410806,030199999920000;5308905,299799999200000;7,805967150000072;47,927258579000068;0
6650;08200106119200354810;08;1;19;020;2020;01;15;2;2;6;4;0;0;1;1;0;0;0;519446,178999999540000;5404941,881400000300000;9,264793498000074;48,797165875000076;1
6653;08200106116500355380;08;1;16;036;2020;01;14;2;3;5;3;0;1;1;0;0;0;0;524480,419599999670000;5378460,668899999900000;9,331774247000055;48,558763826000074;0
6670;08200104617123356500;08;4;26;070;2020;01;15;7;3;3;6;0;1;1;0;0;0;0;565167,826000000350000;5341914,165999999300000;9,877477848000069;48,227100369000027;0
6679;08200104317500359680;08;3;17;096;2020;01;13;7;3;5;2;0;1;1;0;0;0;0;422587,395999999720000;5370224,014200000100000;7,952466266000045;48,480374868000069;0
6696;08200104119100351070;08;1;19;008;2020;01;12;7;3;6;3;0;0;1;1;0;0;0;531961,144999999550000;5421167,526000000500000;9,436470064000048;48,942607208000027;0
6697;08200104116010356230;08;1;16;033;2020;01;00;7;3;5;3;2;1;1;0;0;0;0;531619,422399999570000;5389206,030999999500000;9,429342695000059;48,655109467000045;1
6703;08200118437000401130;08;4;37;076;2020;01;08;7;2;6;1;0;0;1;1;0;0;0;526485,092600000090000;5321693,851199999500000;9,355379322000033;48,047977663000040;1
6723;08200118221011415320;08;2;21;000;2020;01;11;7;3;3;2;0;1;1;0;0;0;0;476326,671799999660000;5471751,290799999600000;8,673731974000077;49,397991270000034;0
6734;08200118121200435380;08;1;21;000;2020;01;21;7;3;1;7;2;1;1;0;0;0;0;515116,113199999560000;5441670,962600000200000;9,207196779000071;49,127686983000046;1
6736;08200118118500417440;08;1;18;021;2020;01;17;7;2;6;4;2;0;0;1;0;0;1;521286,397599999790000;5427330,999700000500000;9,291017785000065;48,998510509000027;1
6744;08200118111210374780;08;1;11;000;2020;01;18;7;3;5;2;2;1;1;0;0;0;0;508076,812800000420000;5397430,506100000800000;9,109832899000026;48,729845437000051;0
6755;08200117415400386160;08;4;15;061;2020;01;15;6;3;5;2;0;1;1;0;0;0;0;515348,793999999760000;5370729,555600000500000;9,207733118000022;48,489502475000052;0
6764;08200117317300380870;08;3;17;065;2020;01;09;6;2;6;4;0;0;1;1;0;0;0;416920,203200000340000;5354774,176999999200000;7,878853056000025;48,340683054000067;0
6768;08200117311010377310;08;3;36;091;2020;01;16;6;3;5;3;2;1;1;0;0;0;0;394649,213000000450000;5271729,532999999800000;7,598748725000064;47,590415768000071;1
6769;08200117311010371950;08;3;36;069;2020;01;07;6;1;6;7;1;0;1;1;0;0;0;405992,145700000230000;5273759,099400000600000;7,749144505000061;47,610416712000074;0
6770;08200117237200392450;08;2;37;054;2020;01;23;6;2;5;3;2;1;1;0;0;0;0;468436,165000000040000;5375980,454800000400000;8,572417277000056;48,536135001000048;1
6780;08200117136100399940;08;1;36;088;2020;01;12;6;3;5;2;0;1;1;0;0;0;0;580491,838000000450000;5409265,470000000700000;10,096785496000052;48,831147213000065;0
6787;08200117126100398990;08;1;26;046;2020;01;09;6;3;8;6;0;1;1;0;0;0;0;550432,275999999610000;5458554,364000000100000;9,693371855000066;49,277663734000043;0
6793;08200117119100371050;08;1;19;038;2020;01;14;6;3;8;1;0;1;0;0;0;0;0;524403,571999999690000;5421100,506999999300000;9,333259894000037;48,942348689000028;1
6803;08200117111500373240;08;1;11;000;2020;01;17;6;3;5;2;2;1;1;0;0;0;0;513687,333999999800000;5403072,522700000600000;9,186315078000064;48,780502776000048;1
6816;08200116326100369850;08;3;26;027;2020;01;14;5;3;6;4;0;0;1;1;0;0;0;461815,998399999920000;5308014,772399999200000;8,488865725000039;47,924316285000032;0
6821;08200116235100389550;08;2;35;073;2020;01;09;5;2;6;7;0;0;1;1;0;0;0;478689,880499999970000;5407947,502800000800000;8,709669976000043;48,824142739000081;1
6824;08200116231000401280;08;2;37;040;2020;01;19;5;1;2;6;2;1;1;0;0;0;0;472603,375799999570000;5369516,833000000600000;8,629291842000043;48,478182776000040;0
6828;08200116222014530170;08;2;22;000;2020;01;14;5;3;6;2;0;0;1;1;0;0;0;464992,839599999600000;5481899,755300000300000;8,516636454000036;49,488726406000069;0
6831;08200116215502369820;08;2;15;111;2020;01;13;5;3;5;3;0;1;1;0;0;0;0;457138,994800000450000;5444717,754499999800000;8,412193746000071;49,153783893000082;0
6833;08200116212200365290;08;2;12;000;2020;01;06;5;3;5;2;1;1;1;0;0;0;0;458071,452300000000000;5427696,516300000300000;8,426745702000062;49,000741505000065;0
6837;08200116128300380720;08;1;28;131;2020;01;16;5;3;5;3;0;1;1;0;0;0;0;536603,292799999940000;5513012,194000000100000;9,508304853000027;49,768466233000026;0
6845;08200116119101390380;08;1;19;044;2020;01;10;5;3;5;2;0;1;1;0;0;0;0;541132,602900000290000;5425444,531700000200000;9,562144609000029;48,980538011000078;1
6854;08200116116200366950;08;1;16;077;2020;01;20;5;3;0;1;2;1;0;0;0;0;0;517140,423000000420000;5388828,471000000800000;9,232727123000075;48,652277908000030;0
6857;08200116115100380690;08;1;15;003;2020;01;16;5;3;5;3;0;1;1;0;0;0;0;500814,266699999570000;5392724,664000000800000;9,011063568000054;48,687563149000027;0
6874;08200115317100414540;08;3;17;001;2020;01;19;4;3;5;3;2;1;1;0;0;0;0;431733,254200000320000;5386605,318800000500000;8,073521771000060;48,628786761000072;0
6875;08200115311100364310;08;3;15;043;2020;01;09;4;2;6;4;0;0;1;1;0;0;0;405364,730700000190000;5322723,910299999600000;7,730096690000039;48,050776589000066;0
6903;08200115115200382230;08;1;15;016;2020;01;18;4;3;5;3;2;1;1;0;0;0;0;489062,394199999980000;5378691,794600000600000;8,851759484000070;48,561225675000060;0
6904;08200115111500390720;08;1;11;000;2020;01;13;4;3;5;3;0;1;0;0;0;0;1;512518,939600000160000;5399636,804199999200000;9,170306167000035;48,749619853000070;0
6907;08200119327100375110;08;3;27;050;2020;01;19;1;3;4;2;2;1;1;0;0;0;0;487443,503899999890000;5314289,760600000600000;8,831731401000070;47,981788205000043;1
6908;08200114617123389340;08;4;21;000;2020;01;14;3;2;6;1;0;0;1;1;0;0;0;569903,704599999820000;5361937,073200000500000;9,944556508000062;48,406711506000079;0
6920;08200114425000368580;08;4;25;020;2020;01;13;3;3;5;3;0;1;1;0;0;0;0;559127,112499999810000;5360966,232799999400000;9,798819772000059;48,399081320000050;0
6934;08200114317500375610;08;3;17;096;2020;01;07;3;3;0;7;2;1;0;0;0;0;0;421798,007000000220000;5368841,589999999900000;7,942044861000056;48,467842388000065;0
6937;08200114316100459490;08;3;16;011;2020;01;07;3;3;4;2;2;1;0;0;0;0;1;412742,971199999560000;5331284,795900000300000;7,827332738000052;48,128834683000036;2
6939;08200114231000431830;08;2;31;000;2020;01;21;3;3;6;4;2;0;1;1;0;0;0;477671,855200000110000;5415456,669099999600000;8,695390957000029;48,891657275000057;0
6941;08200114231000376040;08;2;36;061;2020;01;17;3;2;6;4;2;0;1;1;0;0;0;489310,599499999550000;5430385,355100000300000;8,853778278000050;49,026260624000031;0
6944;08200114222400373740;08;2;26;038;2020;01;19;3;3;3;6;2;1;1;0;0;0;0;472764,847599999980000;5479783,354499999400000;8,624091901000043;49,470088686000054;0
6946;08200114212702409090;08;2;15;108;2020;01;16;3;2;6;4;0;0;1;1;0;0;0;450068,457899999800000;5424782,643200000700000;8,317692838000028;48,973935743000027;0
6948;08200114136200376580;08;1;36;019;2020;01;14;3;2;5;3;0;1;1;0;0;0;0;582555,479399999600000;5424122,330700000700000;10,127901904000055;48,964499438000075;0
6955;08200114119300360800;08;1;19;086;2020;01;06;3;2;6;4;2;0;1;1;0;0;0;535191,093200000000000;5405241,121200000900000;9,479207407000047;48,799165849000076;1
6957;08200119231000377170;08;2;37;028;2020;01;19;1;2;5;3;2;1;1;0;0;0;0;456718,984500000250000;5368100,317900000100000;8,414513738000039;48,464546938000069;1
6972;08200119222014374830;08;2;22;000;2020;01;18;1;2;6;4;2;0;1;1;0;0;0;463554,876899999570000;5480763,027499999900000;8,496887258000072;49,478417432000072;1
6977;08200113426010362870;08;4;26;070;2020;01;15;2;3;6;3;0;0;1;1;0;0;0;565501,282700000330000;5342945,256200000600000;9,882126674000062;48,236341452000033;0
6984;08200113317500358960;08;3;17;096;2020;01;17;2;3;5;3;1;1;1;0;0;0;0;423729,621000000280000;5370664,690999999600000;7,967839593000065;48,484478363000051;0
6989;08200113311010357880;08;3;36;069;2020;01;14;2;3;5;3;0;1;1;0;0;0;0;409676,194699999880000;5268933,882099999100000;7,799146055000051;47,567533748000074;0
7000;08200113212010363030;08;2;12;000;2020;01;14;2;1;5;2;0;1;0;0;0;0;1;456376,377100000160000;5425982,362099999600000;8,403755672000045;48,985204982000027;1
7007;08200113127202391960;08;1;27;014;2020;01;15;2;3;5;3;0;1;1;0;0;0;0;577350,752700000070000;5442671,745899999500000;10,060348272000056;49,132006216000036;0
7009;08200113127202374840;08;1;27;014;2020;01;15;2;2;6;3;0;0;1;1;0;0;0;578396,216000000010000;5442785,926999999200000;10,074699384000041;49,132900645000063;0
