OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
78208;08220101212010166290;08;2;15;046;2022;01;15;7;2;0;3;0;1;1;1;0;1;0;0;456900,876712092023809;5413435,813885710202157;8,412250261000050;48,872382428999998
78210;08220116221011209600;08;2;22;000;2022;01;17;1;3;7;1;2;1;1;0;0;0;0;0;463436,867332559020724;5480854,052542760036886;8,495249827000070;49,479229061000098
78213;08220113212010179720;08;2;12;000;2022;01;17;5;3;5;3;2;0;1;1;0;0;0;0;458108,495633756974712;5427628,234427600167692;8,427259181000069;49,000129813000100
78219;08220114435200181990;08;4;35;059;2022;01;08;6;3;0;1;0;1;1;0;0;0;0;0;512878,028999999980442;5290735,607999489642680;9,171875127000019;47,769857042000098
78256;08220104215402184600;08;2;15;009;2022;01;17;3;2;5;3;2;1;1;1;0;0;0;0;470684,293763533991296;5441587,157939950004220;8,598179093000059;49,126419816000102
78303;08220109121200196770;08;1;21;000;2022;01;18;1;2;6;4;2;0;0;1;1;0;0;0;516467,447881239000708;5441976,513726550154388;9,225731875000060;49,130400795000099
78307;08220115231000192870;08;2;37;004;2022;01;16;7;2;6;7;0;2;0;1;1;0;0;0;442509,341348206973635;5376654,632957380264997;8,221130057000041;48,540359545999998
78319;08220118116400204630;08;1;16;033;2022;01;07;3;2;5;2;1;1;1;1;0;0;0;0;533912,007287596003152;5388955,519985619932413;9,460450905000069;48,652735671000102
78337;08220113316200192120;08;3;16;010;2022;01;15;5;3;6;4;0;0;0;1;1;0;0;0;430885,838526955980342;5335839,047105790115893;8,070381572000031;48,172032723000001
78342;08220111436400198510;08;4;36;009;2022;01;13;3;3;6;4;0;0;0;1;1;0;0;0;557129,125434578047134;5307987,008948259986937;9,764712123000040;47,922657870000101
78351;08220113121200203470;08;1;21;000;2022;01;18;5;3;5;3;2;0;1;1;0;0;0;0;516770,398142347985413;5443332,289661929942667;9,229941017000041;49,142588254000003
78382;08220117126100215980;08;1;26;060;2022;01;14;2;3;3;2;0;0;1;1;0;0;0;0;544669,338056070962921;5460506,678828800097108;9,614362923000041;49,295672394000100
78394;08220112121400188300;08;1;25;013;2022;01;10;4;3;6;4;0;0;0;1;1;0;0;0;504798,518999999971129;5435802,821999530307949;9,065703851000020;49,075067586999999
78401;08220104117300173890;08;1;17;026;2022;01;18;3;3;6;2;2;1;0;1;1;0;0;0;547180,820495742023923;5395022,795721120201051;9,641294740000030;48,706453170000003
78440;08220102115300173820;08;1;15;050;2022;01;19;1;3;0;7;2;0;1;0;0;0;0;0;491252,739520773000550;5400631,359531420283020;8,880982035000050;48,758631258000001
78445;08220113212702217060;08;2;15;096;2022;01;19;5;3;0;7;2;1;1;0;0;0;0;0;464805,684751942986622;5417971,895222740247846;8,519654252000070;48,913685674000099
78486;08220112311010194670;08;3;11;000;2022;01;08;4;3;0;1;0;0;1;0;0;0;0;0;413979,501126003975514;5314154,025477600283921;7,847391563000030;47,974906994999998
78493;08220105226600189930;08;2;26;082;2022;01;12;4;2;5;2;0;0;1;1;0;0;0;0;475390,000464948010631;5479899,870839370414615;8,660317130000070;49,471248791999997
78496;08220110119300196070;08;1;19;067;2022;01;12;2;3;6;4;0;1;0;1;1;0;0;0;538788,038662623963319;5406723,872639779932797;9,528326087000041;48,812289968000101
78505;08220109211000190470;08;3;17;116;2022;01;18;1;2;1;7;2;1;1;1;0;0;0;0;433576,786410906002857;5388971,172486419789493;8,098158579000030;48,650266299000101
78515;08220110435100175740;08;4;35;016;2022;01;17;2;3;6;4;2;1;0;1;1;0;0;0;537355,620452334987931;5278837,819985340349376;9,497533797000070;47,661855051000003
78539;08220111335400176270;08;3;35;079;2022;01;11;3;3;5;3;0;0;1;1;0;0;0;0;501375,216662527993321;5299795,198357519693673;9,018382956000041;47,851497788000103
78568;08220110335000176430;08;3;35;043;2022;01;15;2;2;6;4;0;0;0;1;1;0;0;0;508754,754495800996665;5287194,282918260432780;9,116773158000059;47,738062984000102
