OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
78277;08240115117400936110;08;1;17;018;2024;01;17;2;3;1;1;2;2;0;1;1;0;0;0;537246,746299999766052;5397891,940899999812245;9,506533389000026;48,732935566000037;1
78300;08240114111500938680;08;1;11;000;2024;01;02;1;3;0;7;2;0;1;1;0;0;0;0;513309,526499999687076;5404243,691199999302626;9,181210233000058;48,791046698000059;1
78309;08240113335200927600;08;3;35;063;2024;01;17;7;3;6;2;2;0;0;1;1;0;0;0;496578,490899999625981;5288156,629200000315905;8,954355425000074;47,746772115000056;1
78316;08240113235100941320;08;2;35;033;2024;01;19;7;3;5;3;2;0;1;1;0;0;0;0;458587,751000000163913;5405142,156999999657273;8,436091239000064;48,797892311000055;1
78332;08240112435100911800;08;4;35;016;2024;01;08;6;3;4;6;0;2;1;0;0;0;0;0;529502,736499999649823;5279926,409900000318885;9,393018833000042;47,672055504000070;1
78340;08240112326100956150;08;3;26;012;2024;01;05;6;3;6;2;2;0;0;1;1;0;0;0;462257,744199999608099;5310825,405500000342727;8,494532319000029;47,949629537000078;1
78342;08240112317300912730;08;3;17;031;2024;01;06;6;3;6;2;2;0;0;1;1;0;0;0;416680,177500000223517;5358471,184200000017881;7,874882520000028;48,373905613000034;1
78352;08240112222500937990;08;2;22;000;2024;01;15;6;3;6;4;0;0;0;1;1;0;0;0;465475,076299999840558;5476405,639100000262260;8,523773919000064;49,439336775000072;1
78356;08240113335300974990;08;3;35;075;2024;01;12;7;3;6;7;0;0;0;1;1;0;0;0;488147,560700000263751;5289952,307299999520183;8,841834099000039;47,762828958000057;1
78370;08240112121400936770;08;1;25;066;2024;01;10;6;3;6;4;0;0;0;1;1;0;0;0;514108,279199999757111;5432787,344000000506639;9,193072380000046;49,047798998000076;1
78372;08240112119400925850;08;1;19;091;2024;01;10;6;3;6;4;0;0;1;0;1;0;0;0;528485,837199999950826;5407205,257500000298023;9,388038729000073;48,817178076000062;1
78373;08240112119200936830;08;1;19;020;2024;01;10;6;3;5;2;0;0;1;1;0;0;0;0;519242,959300000220537;5408796,797499999403954;9,262207125000032;48,831850303000067;1
78375;08240112118100992200;08;1;18;010;2024;01;12;6;2;5;3;0;0;1;1;0;0;0;0;507251,815000000409782;5432002,141000000759959;9,099227549000034;49,040854506000073;1
78388;08240111311010933020;08;3;11;000;2024;01;19;5;3;2;6;2;0;1;1;0;0;0;0;414447,744699999690056;5316791,217199999839067;7,853138875000070;47,998692381000069;1
78407;08240111115400934690;08;1;15;045;2024;01;08;5;2;5;2;0;0;1;1;0;0;0;0;500532,997499999590218;5396241,851099999621511;9,007246461000022;48,719204355000045;1
78410;08240110437100929920;08;4;37;086;2024;01;06;4;3;6;4;2;2;0;1;1;0;0;0;528697,989199999719858;5311039,778400000184774;9,384358825000049;47,952027461000057;1
78420;08240110311010933940;08;3;15;109;2024;01;07;4;3;5;2;1;1;1;1;0;0;0;0;422659,955000000074506;5314782,109999999403954;7,963569063000023;47,981665262000035;1
78421;08240110311010920360;08;3;11;000;2024;01;07;4;3;5;3;1;1;1;1;0;0;0;0;413654,593999999575317;5316693,864499999210238;7,842528210000069;47,997710026000050;1
78450;08240109226100908330;08;2;26;013;2024;01;16;3;3;6;4;0;0;0;0;1;0;0;1;498884,416799999773502;5479756,750199999660254;8,984602272000075;49,470459172000062;1
78459;08240109118300933770;08;1;18;003;2024;01;13;3;2;6;7;0;0;0;1;1;0;0;0;510936,220599999651313;5416860,051799999549985;9,149234496000076;48,904587535000076;1
78463;08240108436400924150;08;4;36;011;2024;01;09;2;3;5;2;0;0;1;1;0;0;0;0;548625,008500000461936;5297098,586899999529123;9,649661326000057;47,825398424000070;1
78468;08240108417300905340;08;4;17;013;2024;01;17;2;2;6;4;2;0;0;1;1;0;0;0;509124,934100000187755;5348570,774499999359250;9,123017206000043;48,290271021000081;1
78470;08240108337010921050;08;3;37;096;2024;01;17;2;3;5;3;2;1;1;0;0;0;0;1;421855,849000000394881;5267962,484999999403954;7,961217643000055;47,560375601000032;1
78473;08240108336200928680;08;3;36;069;2024;01;07;2;2;4;6;2;1;1;0;0;0;0;0;409051,506400000303984;5269903,272600000724196;7,790641955000069;47,576167000000055;1
78477;08240108335100906590;08;3;35;043;2024;01;13;2;3;6;4;0;0;0;1;1;0;0;0;513576,559000000357628;5279451,946000000461936;9,180846251000048;47,668316998000080;1
78482;08240108311400927730;08;3;15;074;2024;01;07;2;3;5;3;0;0;1;1;0;0;0;0;398837,034500000067055;5295622,976299999281764;7,648891686000070;47,806008129000077;1
78486;08240108222600925950;08;2;22;000;2024;01;08;2;3;4;2;0;0;1;1;0;0;0;0;462426,094100000336766;5485627,527300000190735;8,480842772000074;49,522102180000047;1
78487;08240108222014917050;08;2;22;000;2024;01;17;2;3;3;2;1;1;1;0;0;0;0;1;463141,598899999633431;5486276,809800000861287;8,490667796000025;49,527986047000070;1
78490;08240108121500903970;08;1;25;079;2024;01;07;2;3;6;7;2;0;0;1;1;0;0;0;511907,808600000105798;5454492,741599999368191;9,163600510000038;49,243093140000042;1
78497;08240107311010904350;08;3;11;000;2024;01;15;1;3;5;3;0;1;1;1;0;0;0;0;410175,175999999977648;5318810,944599999114871;7,795453210000062;48,016274167000063;1
78515;08240106118400903000;08;1;18;048;2024;01;13;7;3;0;1;0;0;1;0;0;0;0;0;513516,277800000272691;5416694,655899999663234;9,184436033000054;48,903048748000060;1
78516;08240106118010912790;08;1;18;028;2024;01;14;7;2;0;7;0;0;1;0;0;0;0;0;512479,439799999818206;5428053,010299999266863;9,170636074000072;49,005246271000033;1
78519;08240105437200902030;08;4;37;031;2024;01;19;6;3;6;4;2;0;0;1;1;0;0;0;516098,390700000338256;5344104,204900000244379;9,216858773000070;48,249947660000032;1
78522;08240105436200901540;08;4;36;064;2024;01;13;6;3;0;1;0;1;1;0;0;0;0;0;545526,117700000293553;5292551,137000000104308;9,607783171000051;47,784711906000041;1
78535;08240105118010907080;08;1;15;042;2024;01;09;6;2;3;6;0;0;1;1;0;0;0;0;497113,186099999584258;5406646,036800000816584;8,960678817000030;48,812793759000044;1
78540;08240104317100911540;08;3;17;089;2024;01;18;5;3;5;2;2;1;1;1;0;0;0;0;427597,728600000031292;5377739,166099999099970;8,018950163000056;48,548571142000071;1
78544;08240104226700915820;08;2;26;010;2024;01;09;5;3;5;3;0;0;1;1;0;0;0;0;478300,857099999673665;5458020,255200000479817;8,701687365000055;49,274554624000075;1
78554;08240103337100950650;08;3;37;096;2024;01;21;4;2;6;6;2;1;1;0;1;0;0;0;421366,321999999694526;5267776,565099999308586;7,954744668000046;47,558643879000044;1
