UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
08250103119400590780;08;1;19;041;2025;01;16;6;3;0;7;1;1;1;0;0;0;0;0;526548,720999999903142;5409987,134999999776483;9,361831729000073;48,842288825000026;1
08250104221300594920;08;2;21;000;2025;01;20;7;3;4;2;2;0;1;1;0;0;0;0;482812,029000000096858;5473875,707000000402331;8,763020861000030;49,417317851000064;1
08250103215202597900;08;2;15;084;2025;01;17;6;3;5;7;2;0;1;1;0;0;0;0;474088,940999999642372;5447615,392999999225140;8,644456625000032;49,180797990000030;1
08250106437100592680;08;4;37;100;2025;01;09;2;2;0;1;0;2;1;0;0;0;0;0;537015,480999999679625;5318759,326999999582767;9,496418629000061;48,021052442000041;1
08250101127202600600;08;1;27;014;2025;01;14;4;3;5;3;0;0;1;1;0;0;0;0;578202,139800000004470;5441224,816199999302626;10,071736697000063;49,118884990000026;1
08250104212302604910;08;2;12;000;2025;01;09;7;3;5;7;0;0;1;1;0;0;0;0;455178,520600000396371;5428425,910900000482798;8,387114826000072;49,007099197000059;1
08250102436300603400;08;4;36;052;2025;01;16;5;3;6;4;1;0;0;1;1;0;0;0;566430,746899999678135;5292952,436000000685453;9,886896640000032;47,786505299000055;1
08250107118200617570;08;1;11;000;2025;01;18;3;3;9;6;2;0;1;1;0;0;0;0;506636,983099999837577;5403366,380200000479817;9,090349047000075;48,783261483000047;1
08250102216200589840;08;2;16;063;2025;01;14;5;3;5;3;0;1;1;1;0;0;0;0;427402,608000000007451;5400310,362999999895692;8,012349290000031;48,751572722000049;1
08250101311010590890;08;3;11;000;2025;01;04;4;2;4;6;2;0;1;0;0;0;0;0;406872,258299999870360;5316824,467499999329448;7,751603280000040;47,997932837000064;1
08250107215402627300;08;2;15;009;2025;01;07;3;3;6;4;2;1;0;1;1;0;0;0;470323,660500000230968;5440911,476099999621511;8,593285848000050;49,120324616000062;1
08250107426100631120;08;4;26;074;2025;01;13;3;2;6;4;0;0;0;1;1;0;0;0;555535,582700000144541;5326218,211100000888109;9,745743925000056;48,086813455000026;1
08250103215402592160;08;2;15;009;2025;01;15;6;3;5;3;0;0;1;0;0;1;0;0;467155,660000000149012;5437188,883099999278784;8,550172509000049;49,086678124000059;1
08250105436300598890;08;4;36;049;2025;01;20;1;3;0;1;2;2;1;0;0;0;0;0;575678,365100000053644;5281636,906899999827147;10,008372723000036;47,683688197000038;1
08250101117400592590;08;1;17;060;2025;01;15;4;3;5;3;0;0;1;1;0;0;0;0;541606,740000000223517;5388514,948000000789762;9,564879469000061;48,648307408000051;1
08250102415300589250;08;4;15;089;2025;01;11;5;3;5;3;0;1;1;1;0;0;0;0;521731,724100000225008;5359512,238299999386072;9,293537764000064;48,388398921000032;1
08250106311010593130;08;3;11;000;2025;01;13;2;2;0;7;0;0;1;0;0;0;0;0;411817,429899999871850;5319052,703900000080466;7,817421119000073;48,018677628000034;1
08250107316100616870;08;3;16;011;2025;01;17;3;2;5;3;2;0;1;0;0;0;0;1;415702,303999999538064;5329123,068800000473857;7,867523192000021;48,109788309000066;1
08250107436100601090;08;4;36;055;2025;01;19;3;3;6;4;2;2;0;1;1;0;0;0;576290,280000000260770;5296770,009600000455976;10,019179753000060;47,819756023000082;1
08250103311010618660;08;3;11;000;2025;01;19;6;3;5;3;2;0;1;1;0;0;0;0;413126,813299999572337;5315108,554300000891089;7,835775577000049;47,983378119000065;1
08250102118500589890;08;1;18;054;2025;01;17;5;3;6;2;2;2;0;1;1;0;0;0;518124,568199999630451;5422693,373800000175834;9,247584473000074;48,956893363000063;1
08250107136000596830;08;1;36;050;2025;01;07;3;3;0;6;2;1;1;1;0;0;0;0;581793,731599999591708;5404287,236999999731779;10,113529690000064;48,786201801000061;1
08250103326000594970;08;3;35;043;2025;01;14;6;3;5;3;0;0;1;1;0;0;0;0;511880,973000000230968;5283205,827999999746680;9,158362529000044;47,702126485000065;1
08250102436300604410;08;4;36;052;2025;01;17;5;2;5;2;2;1;1;1;0;0;0;0;565968,185300000011921;5292686,651799999177456;9,880681484000036;47,784161729000061;1
08250107235100765440;08;2;35;085;2025;01;14;3;2;6;4;0;0;0;1;1;0;0;0;480797,899899999611080;5394948,516699999570847;8,738996089000068;48,707274038000037;1
08250107435100594770;08;4;35;016;2025;01;16;3;3;5;3;0;1;1;1;0;0;0;0;536819,948300000280142;5281579,977600000798702;9,490630752000072;47,686557974000038;1
08250107335000604060;08;3;35;075;2025;01;15;3;2;6;6;0;1;1;0;1;0;0;0;487452,188599999994040;5289963,515900000929832;8,832554362000053;47,762916646000065;1
08250102436200606020;08;4;36;064;2025;01;17;5;3;6;2;2;1;0;1;1;0;0;0;545713,210099999792874;5292839,922000000253320;9,610311163000063;47,787296856000069;1
08250105311010591730;08;3;36;073;2025;01;13;1;2;0;1;0;1;1;0;0;0;0;0;397957,567999999970198;5276790,146999999880791;7,641560974000072;47,636466377000033;1
08250124316100683180;08;3;16;039;2025;01;06;6;3;4;6;2;1;1;0;0;0;0;0;417324,531499999575317;5326133,362199999392033;7,889891469000077;48,083107545000075;1
08250130435100675220;08;4;35;035;2025;01;15;5;2;6;7;0;0;1;0;1;0;0;0;541938,582100000232458;5281945,944700000807643;9,558869264000066;47,689538771000059;1
08250122336200660040;08;3;36;069;2025;01;19;4;3;5;2;2;0;1;1;0;0;0;0;408510,776300000026822;5268216,162100000306964;7,783804880000048;47,560914003000050;1
08250119335100620200;08;3;35;043;2025;01;03;1;3;0;1;2;2;1;0;0;0;0;0;512195,305999999865890;5279263,347300000488758;9,162442117000069;47,666647573000034;1
08250131119200669870;08;1;19;020;2025;01;14;6;3;6;4;0;0;0;1;1;0;0;0;519605,658800000324845;5406683,711799999698997;9,267048251000062;48,812830067000050;1
08250121111000650910;08;1;11;000;2025;01;15;3;3;0;1;0;0;1;0;0;0;0;0;515650,933000000193715;5403512,778000000864267;9,213060613000039;48,784416960000044;1
08250120116500626340;08;1;16;020;2025;01;14;2;3;6;4;0;0;0;1;1;0;0;0;524353,381299999542534;5380395,516000000759959;9,330165861000069;48,576174941000033;1
08250123335400662050;08;3;35;079;2025;01;08;5;3;6;4;1;1;0;0;1;0;0;1;500847,808299999684095;5299703,057199999690056;9,011332741000047;47,850669667000034;1
08250123235100683510;08;2;35;035;2025;01;07;5;3;6;4;2;1;0;0;1;0;0;1;469415,821899999864399;5405537,652799999341369;8,583502355000064;48,802077085000064;1
08250123119010645110;08;1;19;008;2025;01;07;5;2;6;4;1;1;0;1;1;0;0;0;532169,193699999712408;5421030,146099999547005;9,439300300000070;48,941360630000077;1
08250128335100670200;08;3;35;043;2025;01;21;3;2;6;2;2;1;0;1;1;0;0;0;513037,851099999621511;5280524,143699999898672;9,173702451000054;47,677975355000058;1
08250205111000693840;08;1;11;000;2025;02;09;4;3;5;2;0;0;1;1;0;0;0;0;516843,992300000041723;5406644,482899999246001;9,229430383000022;48,812558174000060;1
08250129327100675840;08;3;27;025;2025;01;07;4;2;6;4;0;1;0;1;1;0;0;0;479923,716799999587238;5309379,152400000020862;8,731189562000054;47,937414896000064;1
08250208417100691050;08;4;17;079;2025;02;12;7;2;5;2;0;0;1;0;0;0;0;1;493547,681300000287592;5340917,189300000667572;8,913130156000022;48,221446337000032;1
08250210222014716210;08;2;22;000;2025;02;21;2;3;5;3;2;1;1;1;0;0;0;0;460910,776899999938905;5482404,309900000691414;8,460225716000025;49,493015367000055;1
08250114111500608300;08;1;11;000;2025;01;07;3;2;6;4;2;0;0;0;1;0;0;1;513419,860000000335276;5405044,051999999210238;9,182738572000062;48,798244286000056;1
08250129231000669500;08;2;37;028;2025;01;07;4;3;6;6;2;1;0;0;1;0;0;1;461045,784099999815226;5368672,033199999481440;8,472988780000037;48,469972993000056;1
08250131221300676080;08;2;21;000;2025;01;15;6;2;6;4;0;0;0;1;1;0;0;0;477277,379399999976158;5474739,113700000569224;8,686663493000026;49,424902482000050;1
08250113221300293660;08;2;21;000;2025;01;08;2;3;4;6;0;0;1;0;0;0;0;0;479355,769000000320375;5473719,717000000178814;8,715376359000061;49,415807269000027;1
08250117337400650240;08;3;37;096;2025;01;22;6;3;5;3;2;0;1;1;0;0;0;0;422307,883500000461936;5268052,530700000002980;7,967209676000039;47,561239950000072;1
08250208116500713760;08;1;16;049;2025;02;13;7;3;2;6;0;0;1;1;0;0;0;0;524937,417299999855459;5385823,389599999412894;9,338409688000070;48,624981584000068;1
08250204212010693480;08;2;12;000;2025;02;14;3;2;5;3;0;0;1;1;0;0;0;0;459620,630599999800324;5427971,580499999225140;8,447897934000025;49,003319046000058;1
08250203335100684610;08;3;35;043;2025;02;19;2;3;5;3;2;0;1;1;0;0;0;0;512505,392400000244379;5279837,265599999576807;9,166588898000043;47,671805578000033;1
08250131336200675660;08;3;36;105;2025;01;12;6;3;6;4;0;0;0;1;1;0;0;0;398832,675599999725819;5267554,686100000515580;7,655337879000058;47,553527603000077;1
08250114326000632720;08;3;35;043;2025;01;07;3;3;5;3;0;0;1;0;0;0;0;0;512257,061800000257790;5280808,336899999529123;9,163308070000028;47,680547704000048;1
08250113417000629940;08;4;17;057;2025;01;09;2;3;5;3;0;1;1;1;0;0;0;0;481422,499699999578297;5338468,637299999594688;8,749992894000059;48,199178047000032;1
08250115221300624980;08;2;21;000;2025;01;17;4;3;5;3;2;1;1;1;0;0;0;0;477459,106999999843538;5474333,078999999910593;8,689192479000042;49,421257036000043;1
08250205221011707580;08;2;21;000;2025;02;07;4;3;6;2;2;0;0;1;1;0;0;0;475319,032800000160933;5469286,672199999913573;8,659997865000037;49,375782369000035;1
08250121231000639370;08;2;37;040;2025;01;15;3;2;2;1;0;0;1;1;0;0;0;0;478980,825500000268221;5366180,261099999770522;8,715752528000053;48,448411397000029;1
08250113119200619790;08;1;19;093;2025;01;07;2;3;6;4;1;0;0;1;1;0;0;0;523921,056300000287592;5406241,302999999374151;9,325801497000043;48,808699107000052;1
08250128425000661400;08;4;25;093;2025;01;07;3;3;6;4;2;1;0;1;1;0;0;0;559614,129200000315905;5348814,066500000655651;9,803678241000057;48,289717512000038;1
08250130222700675120;08;2;22;000;2025;01;21;5;3;6;4;2;1;0;1;1;0;0;0;463546,584200000390410;5480785,424000000581145;8,496770720000029;49,478618380000057;1
08250129136100673490;08;1;36;088;2025;01;07;4;3;6;4;1;1;0;1;1;0;0;0;580771,048600000329316;5412034,784900000318885;10,101135279000061;48,856018728000038;1
08250123335400634900;08;3;35;079;2025;01;07;5;3;6;2;2;2;0;1;1;0;0;0;500646,146399999968708;5299521,347500000149012;9,008636834000072;47,849034983000081;1
08250125118010658010;08;1;18;053;2025;01;12;7;2;5;3;0;0;1;1;0;0;0;0;514965,575000000186265;5427687,142000000923872;9,204616243000032;49,001899805000050;1
08250122111500648370;08;1;11;000;2025;01;09;4;3;5;2;0;1;1;1;0;0;0;0;517776,282300000078976;5407336,845200000330806;9,242158896000035;48,818760571000041;1
08250124126200665260;08;1;26;085;2025;01;14;6;3;6;4;0;0;0;0;1;0;1;0;546374,806599999777973;5448176,824999999254942;9,636391053000068;49,184642178000047;1
08250209435100705460;08;4;35;016;2025;02;18;1;3;5;2;2;0;1;1;0;0;0;0;531690,332000000402331;5280491,803099999204278;9,422200992000057;47,677039086000036;1
08250115118401650380;08;1;18;051;2025;01;05;4;3;0;1;2;2;1;0;0;0;0;0;508640,715900000184774;5415247,279799999669194;9,117876245000048;48,890115708000053;1
08250130121600677410;08;1;25;102;2025;01;18;5;3;6;4;2;0;0;0;1;0;0;1;523693,630099999718368;5444881,188500000163913;9,324956053000051;49,156292916000041;1
08250128326400678630;08;3;26;074;2025;01;17;3;3;6;2;2;0;0;1;1;0;0;0;459570,682099999859929;5322674,540999999269843;8,457430342000066;48,056069590000050;1
